variant,dataset,backbone,horizon,seed,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate
sra_basic_ablation,ETTh1,PatchTST,192,2026,96,7.146122106337022,2.0723208246274223,7.242316015180876,2.0944762102183376,-1.3282202614384186,-1.057800770285459,0.10416666666666667,0.14583333333333334
sra_basic_ablation,ETTm1,DLinear,96,2026,96,2.534928983327278,1.1917628580468065,2.8177423433450954,1.2739993115635848,-10.036877916892372,-6.454984090246546,0.08333333333333333,0.3125
sra_basic_ablation,ETTm1,DLinear,192,2026,96,3.859421898780923,1.4979496566510413,3.994698335172625,1.5380548779931642,-3.386399289828136,-2.607528616514572,0.08333333333333333,0.25
sra_basic_ablation,ETTm1,PatchTST,96,2026,96,2.7484719774659374,1.2611404312710452,3.013168467192729,1.3271271209399849,-8.784656142871922,-4.972145330357477,0.13541666666666666,0.2916666666666667
sra_basic_ablation,ETTm1,PatchTST,192,2026,96,4.098315540192779,1.5493016355505806,4.215013369115137,1.5842038217125196,-2.768622977582487,-2.2031373402379546,0.17708333333333334,0.28125
mrc_ridge_abstain,ETTh1,DLinear,96,2026,96,5.167595363976241,1.7420349897006997,5.294718415187439,1.7666085156934137,-2.4009407300388736,-1.391000079265927,0.041666666666666664,0.11458333333333333
mrc_ridge_abstain,ETTh1,DLinear,192,2026,96,6.57081352234875,1.9786688083473585,6.7713172839613245,2.0194551565052357,-2.9610746758445936,-2.0196708911572383,0.010416666666666666,0.15625
mrc_ridge_abstain,ETTh1,PatchTST,96,2026,96,5.783201213071943,1.8486349313940738,5.8042865388731295,1.8533736928487337,-0.3632716204419624,-0.25568299838160935,0.0,0.0625
mrc_ridge_abstain,ETTh1,PatchTST,192,2026,96,7.224901087657603,2.090649986826389,7.242316015180876,2.0944762102183376,-0.2404607512668982,-0.18268163443506366,0.0,0.020833333333333332
mrc_ridge_abstain,ETTm1,DLinear,96,2026,96,2.804306764815141,1.2701331928841173,2.8177423433450954,1.2739993115635848,-0.47682068994009924,-0.3034631662693986,0.020833333333333332,0.010416666666666666
mrc_ridge_abstain,ETTm1,DLinear,192,2026,96,3.9184471583338465,1.5111841141773767,3.994698335172625,1.5380548779931642,-1.9088093830895578,-1.7470614362045371,0.11458333333333333,0.1875
mrc_ridge_abstain,ETTm1,PatchTST,96,2026,96,3.010617483225856,1.326128881777761,3.013168467192729,1.3271271209399849,-0.08466117929288072,-0.07521805100290724,0.010416666666666666,0.010416666666666666
mrc_ridge_abstain,ETTm1,PatchTST,192,2026,96,4.202354498534186,1.5799224612724085,4.215013369115137,1.5842038217125196,-0.30032812336192377,-0.2702531299575846,0.010416666666666666,0.041666666666666664
mrc_ridge_residual_blend,ETTh1,DLinear,96,2026,96,5.065079481881283,1.7071447924429268,5.294718415187439,1.7666085156934137,-4.337132116672021,-3.3659819017994774,0.4166666666666667,0.5833333333333334
mrc_ridge_residual_blend,ETTh1,DLinear,192,2026,96,6.418152966516726,1.9299288036080255,6.7713172839613245,2.0194551565052357,-5.2155925075251,-4.433193387112415,0.34375,0.65625
mrc_ridge_residual_blend,ETTh1,PatchTST,96,2026,96,5.459535293925858,1.7806248284001065,5.8042865388731295,1.8533736928487337,-5.939597262202766,-3.925212942042304,0.3020833333333333,0.6979166666666666
mrc_ridge_residual_blend,ETTh1,PatchTST,192,2026,96,6.820420174074113,2.021164320164126,7.242316015180876,2.0944762102183376,-5.825427109779103,-3.5002493390242075,0.3125,0.6875
mrc_ridge_residual_blend,ETTm1,DLinear,96,2026,96,2.8890631913846576,1.265008085231866,2.8177423433450954,1.2739993115635848,2.531134472067445,-0.7057481255707361,0.4895833333333333,0.5104166666666666
mrc_ridge_residual_blend,ETTm1,DLinear,192,2026,96,4.210102214570055,1.5603505558274193,3.994698335172625,1.5380548779931642,5.3922439389631025,1.4496022221512692,0.5,0.5
mrc_ridge_residual_blend,ETTm1,PatchTST,96,2026,96,3.0815667109922837,1.3104480096031772,3.013168467192729,1.3271271209399849,2.269977411395176,-1.2567832386181488,0.4375,0.5625
mrc_ridge_residual_blend,ETTm1,PatchTST,192,2026,96,4.3455889059383885,1.5852091978770726,4.215013369115137,1.5842038217125196,3.097867671553248,0.0634625509942225,0.4895833333333333,0.5104166666666666
SafeTAE-pairwise-hard,ETTh1,DLinear,96,2026,96,5.294718415187439,1.7666085156934137,5.294718415187439,1.7666085156934137,0.0,0.0,0.0,0.0
SafeTAE-pairwise-hard,ETTh1,DLinear,192,2026,96,6.7713172839613245,2.0194551565052357,6.7713172839613245,2.0194551565052357,0.0,0.0,0.0,0.0
