variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate
SafeTAE-pairwise-blend,low_gap_high_repair,90,6.127425012707301,6.1664226048291715,-0.6324184143345674,0.0,0.35555555555555557
SafeTAE-pairwise-blend,non_boundary,605,4.859177803692818,4.899229639319431,-0.817512925367298,0.013223140495867768,0.4743801652892562
SafeTAE-pairwise-blend,large_residual_norm,80,17.366598558610686,17.435865520738332,-0.3972671273790942,0.0,0.5125
SafeTAE-pairwise-blend,q4_boundary,194,4.490488501415484,4.628772253626971,-2.987482302772253,0.020618556701030927,0.6649484536082474
SafeTAE-tiered-blend,overall,768,4.8037702491971785,4.894157596003544,-1.8468417669159174,0.016927083333333332,0.5247395833333334
SafeTAE-tiered-blend,high_gap_low_repair,163,4.669186847794791,4.875331913757459,-4.228328843788563,0.024539877300613498,0.7177914110429447
SafeTAE-tiered-blend,low_gap_high_repair,90,6.10780373212371,6.1664226048291715,-0.950613935614688,0.0,0.35555555555555557
SafeTAE-tiered-blend,non_boundary,605,4.840029909409723,4.899229639319431,-1.2083477229513393,0.01487603305785124,0.4727272727272727
SafeTAE-tiered-blend,large_residual_norm,80,17.3329402893746,17.435865520738332,-0.590307554174928,0.0,0.5125
SafeTAE-tiered-blend,q4_boundary,194,4.4272865389540925,4.628772253626971,-4.35289755463147,0.030927835051546393,0.654639175257732
SafeTAE-mrc-consistency,overall,768,4.804842746654656,4.894157596003544,-1.824927935286098,0.018229166666666668,0.49609375
SafeTAE-mrc-consistency,high_gap_low_repair,163,4.667165683927637,4.875331913757459,-4.269785792746326,0.024539877300613498,0.7116564417177914
SafeTAE-mrc-consistency,low_gap_high_repair,90,6.104179353960477,6.1664226048291715,-1.0093899616774586,0.0,0.3111111111111111
SafeTAE-mrc-consistency,non_boundary,605,4.841935905703423,4.899229639319431,-1.1694437231364996,0.01652892561983471,0.4380165289256198
SafeTAE-mrc-consistency,large_residual_norm,80,17.365938574321984,17.435865520738332,-0.4010523383142165,0.0125,0.4625
SafeTAE-mrc-consistency,q4_boundary,194,4.4255883445708655,4.628772253626971,-4.38958534756031,0.030927835051546393,0.6494845360824743
SafeTAE-safe,overall,768,4.804842746654656,4.894157596003544,-1.824927935286098,0.018229166666666668,0.49609375
SafeTAE-safe,high_gap_low_repair,163,4.667165683927637,4.875331913757459,-4.269785792746326,0.024539877300613498,0.7116564417177914
SafeTAE-safe,low_gap_high_repair,90,6.104179353960477,6.1664226048291715,-1.0093899616774586,0.0,0.3111111111111111
SafeTAE-safe,non_boundary,605,4.841935905703423,4.899229639319431,-1.1694437231364996,0.01652892561983471,0.4380165289256198
SafeTAE-safe,large_residual_norm,80,17.365938574321984,17.435865520738332,-0.4010523383142165,0.0125,0.4625
SafeTAE-safe,q4_boundary,194,4.4255883445708655,4.628772253626971,-4.38958534756031,0.030927835051546393,0.6494845360824743
SafeTAE-balanced,overall,768,4.804842746654656,4.894157596003544,-1.824927935286098,0.018229166666666668,0.49609375
SafeTAE-balanced,high_gap_low_repair,163,4.667165683927637,4.875331913757459,-4.269785792746326,0.024539877300613498,0.7116564417177914
SafeTAE-balanced,low_gap_high_repair,90,6.104179353960477,6.1664226048291715,-1.0093899616774586,0.0,0.3111111111111111
SafeTAE-balanced,non_boundary,605,4.841935905703423,4.899229639319431,-1.1694437231364996,0.01652892561983471,0.4380165289256198
SafeTAE-balanced,large_residual_norm,80,17.365938574321984,17.435865520738332,-0.4010523383142165,0.0125,0.4625
SafeTAE-balanced,q4_boundary,194,4.4255883445708655,4.628772253626971,-4.38958534756031,0.030927835051546393,0.6494845360824743
