split,method,n,mse,mae,mse_lrbn,mae_lrbn,mean_delta,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage,selected_count,mean_strength,q4_improvement_pct,low_gap_high_repair_delta_pct,high_gap_low_repair_delta_pct,low_gap_high_repair_coverage,high_gap_low_repair_coverage,config_improved_ratio,test_threshold_leakage,method_family,anchor_mode,tail_len,tau_g,tau_r,tau_j,alpha,K,continuous,kg,kr,kj,q_g,candidate_index,safe_feasible,balanced_feasible
val,LRBN-SRA-BP-support,768,8.78462982921963,2.3030339069427095,8.79717792520947,2.3053724718885635,-0.01254809598983773,-0.14263774226524367,-0.10143978746281791,0.04296875,0.17057291666666666,0.21354166666666666,164,0.021354166666666664,0.3409631651124576,0.0,-0.40147299091136374,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.7,0.1,24,False,4.0,4.0,4.0,0.5,28,False,False
val,LRBN-SRA-BP-continuous,768,8.78646691293344,2.3034208726068974,8.79717792520947,2.3053724718885635,-0.010711012276028482,-0.12175509413263473,-0.08465440170723966,0.2708333333333333,0.7278645833333334,0.9869791666666666,758,0.014570528755322694,0.28988010277917686,-2.95062958852722e-08,-0.3301478343230741,0.8809523809523809,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.3,0.1,24,True,4.0,4.0,4.0,0.5,29,False,False
val,LRBN-SRA-BP-continuous,768,8.784014869187452,2.3029619984773033,8.79717792520947,2.3053724718885635,-0.013163056022017483,-0.14962816620241864,-0.10455895653293971,0.2708333333333333,0.7278645833333334,0.9908854166666666,761,0.0186454100680326,0.3520216338310189,-5.1827258645301404e-08,-0.400849976886081,0.9166666666666666,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.5,0.1,24,True,4.0,4.0,4.0,0.5,30,False,False
val,LRBN-SRA-BP-continuous,768,8.782471666366652,2.3026711591459397,8.79717792520947,2.3053724718885635,-0.014706258842816974,-0.16717018742974374,-0.11717467627664856,0.2721354166666667,0.7278645833333334,1.0,768,0.02147429276709543,0.3900605973398793,-8.046947594877973e-08,-0.4440824587366599,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.7,0.1,24,True,4.0,4.0,4.0,0.5,31,False,False
val,LRBN-SRA-BP-continuous,768,8.780877007730107,2.302369189644127,8.79717792520947,2.3053724718885635,-0.0163009174793633,-0.18529712141118318,-0.13027318873764226,0.2734375,0.7265625,1.0,768,0.024720913421283307,0.4282790554966836,-1.510568887904248e-07,-0.48746199944118923,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,,0.1,24,True,4.0,4.0,4.0,0.5,32,False,False
val,LRBN-SRA-BP-short,768,8.779197805572194,2.3022299787091827,8.79717792520947,2.3053724718885635,-0.01798011963727539,-0.20438508541827766,-0.13631173287912823,0.061197916666666664,0.15234375,0.21354166666666666,164,0.021354166666666664,0.5053406746240104,0.0,-0.5950221397186275,0.0,0.5153374233128835,1.0,False,short,last,16,2.4260872328869336,-0.2,,0.1,H_div_4,False,4.0,4.0,4.0,0.5,33,False,False
val,LRBN-SRA-BP-support,768,8.779790565667199,2.3023302925228513,8.79717792520947,2.3053724718885635,-0.01738735954227057,-0.1976470144213,-0.13196042676887146,0.044270833333333336,0.12630208333333334,0.17057291666666666,131,0.01705729166666667,0.4958453590476623,0.0,-0.58384171574872,0.0,0.4662576687116564,1.0,False,support,last,16,2.4260872328869336,-0.2,0.3,0.1,H_div_4,False,4.0,4.0,4.0,0.5,34,False,False
val,LRBN-SRA-BP-support,768,8.7791791123865,2.3022259091939827,8.79717792520947,2.3053724718885635,-0.017998812822970226,-0.20459757612645868,-0.13648825598903366,0.05859375,0.15234375,0.2109375,162,0.021093750000000005,0.5053406746240104,0.0,-0.5950221397186275,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.5,0.1,H_div_4,False,4.0,4.0,4.0,0.5,35,False,False
val,LRBN-SRA-BP-support,768,8.779197805572194,2.3022299787091827,8.79717792520947,2.3053724718885635,-0.01798011963727539,-0.20438508541827766,-0.13631173287912823,0.061197916666666664,0.15234375,0.21354166666666666,164,0.021354166666666664,0.5053406746240104,0.0,-0.5950221397186275,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.7,0.1,H_div_4,False,4.0,4.0,4.0,0.5,36,False,False
val,LRBN-SRA-BP-continuous,768,8.782264921671242,2.3028079486902095,8.79717792520947,2.3053724718885635,-0.014913003538226747,-0.16952031262821501,-0.11124116464915576,0.296875,0.7005208333333334,0.9869791666666666,758,0.014570528755322694,0.4249882624509948,-3.458850159854656e-08,-0.4835443711567863,0.8809523809523809,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.3,0.1,H_div_4,True,4.0,4.0,4.0,0.5,37,False,False
