method,slice_type,slice_name,count,coverage,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_rate,win_loss_ratio,A_gt_1_rate,mean_A
LRBN-SRA-BP-balanced,gap_repair,mid_gap__high_repair,24,0.08333333333333333,0.1379161934793242,0.005815865903921469,0.041666666666666664,0.041666666666666664,0.33286168549762907,0.041666666666666664,0.15341028864027595
LRBN-SRA-BP-balanced,gap_repair,high_gap__low_repair,163,0.9447852760736196,-7.917317705093091,-0.38599551758170464,0.17791411042944785,0.7668711656441718,2.01060521672526,0.7668711656441718,2.5252596526755866
LRBN-SRA-BP-balanced,gap_repair,high_gap__mid_repair,29,0.9655172413793104,-13.835670531524308,-0.48962096716745324,0.10344827586206896,0.8620689655172413,2.591364829248027,0.8620689655172413,3.12484302336502
LRBN-SRA-BP-balanced,gap_repair,high_gap__high_repair,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-basic,gap_repair,low_gap__low_repair,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-basic,gap_repair,low_gap__mid_repair,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-basic,gap_repair,low_gap__high_repair,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-basic,gap_repair,mid_gap__low_repair,258,0.18604651162790697,-0.06481929672885148,-0.002967316017378768,0.08139534883720931,0.10465116279069768,0.8092390635971114,0.10465116279069768,0.23930190886550853
LRBN-SRA-BP-basic,gap_repair,mid_gap__mid_repair,119,0.07563025210084033,-1.0071629559377677,-0.050307086858025554,0.01680672268907563,0.058823529411764705,38.85649497664067,0.058823529411764705,0.5562168726296713
LRBN-SRA-BP-basic,gap_repair,mid_gap__high_repair,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
