method,sample_id,dataset,backbone,horizon,seed,split,delta_mse_vs_lrbn,selected,strength,g_l,g_y,repair_ratio,jump_support,A,case_type
LRBN-BP-always,test_00028,ETTh1,DLinear,192,2026,test,0.44314260528344285,True,1.0,3.622131408779149,0.7800564313034779,-0.31005715462925854,0.11701415403868125,-4.525200559781349,top_harm
LRBN-BP-always,test_00041,ETTh1,DLinear,192,2026,test,0.41891888151298673,True,1.0,1.5211481034313963,2.1169918839617483,0.5763026939859028,0.2721029803894001,-15.252188876774277,top_harm
LRBN-BP-always,test_00090,ETTh1,DLinear,192,2026,test,0.36375290277488137,True,1.0,0.9333383805648415,0.718625238738306,0.7640884772045118,0.39206732889853235,-9.662250830969036,top_harm
LRBN-BP-always,test_00001,ETTh1,DLinear,192,2026,test,0.3296304111593269,True,1.0,2.901919216433822,0.512910444403328,0.47567319113745865,0.13034169830434092,0.005283118266762083,top_harm
LRBN-BP-always,test_00055,ETTh1,DLinear,192,2026,test,0.3186227539586657,True,1.0,3.0604153927061595,1.654085395042284,0.7126015042595795,0.17236543968126092,-5.255369775801858,top_harm
LRBN-BP-always,test_00062,ETTh1,DLinear,192,2026,test,0.28017659079622526,True,1.0,3.281772258094471,0.0,0.6416761353900887,0.2013617271507302,-1.8829479639571212,top_harm
LRBN-BP-always,test_00035,ETTh1,DLinear,192,2026,test,0.26476661442941807,True,1.0,1.8120391567527967,1.2177165313545844,-0.007109499486640081,0.2605663004109445,-2.5715629877411024,top_harm
LRBN-BP-always,test_00051,ETTh1,DLinear,192,2026,test,0.2478865031991897,True,1.0,0.9501178515833035,1.232929523887667,0.3017867724486266,0.42465534947307737,-4.159764182528131,top_harm
LRBN-BP-always,test_00087,ETTh1,DLinear,192,2026,test,0.21539199453444358,True,1.0,0.8815530045861139,2.4426402608033397,0.7922682997432435,0.3950422029130179,-8.072698517283701,top_harm
LRBN-BP-always,test_00078,ETTh1,DLinear,192,2026,test,-4.8088470410876205,True,1.0,3.5592628277817844,0.11482510544354924,0.4917924002248232,0.1116516370083273,13.224871421655237,top_win
LRBN-BP-always,test_00079,ETTh1,DLinear,192,2026,test,-4.217955910272418,True,1.0,8.041633252546733,0.5446254004110533,0.3545364943282556,0.0546082887085275,3.932528076130804,top_win
LRBN-BP-always,test_00020,ETTh1,DLinear,192,2026,test,-4.157430230910908,True,1.0,9.056157452110199,0.292290722389465,0.46106757109314656,0.051290468210465075,11.578293425367828,top_win
LRBN-BP-always,test_00021,ETTh1,DLinear,192,2026,test,-3.685141653534574,True,1.0,2.149368757596463,0.2828412349490098,0.457776348967355,0.17023548934777386,10.604285822879872,top_win
LRBN-BP-always,test_00061,ETTh1,DLinear,192,2026,test,-3.4067726469650377,True,1.0,6.290361713934288,0.09149959554918276,0.338491928960852,0.0658387167635061,2.7606682517977585,top_win
LRBN-BP-always,test_00083,ETTh1,DLinear,192,2026,test,-2.1387547562541513,True,1.0,4.359348503224046,0.18144178349723084,-5.124713685944016,0.09693835031610341,9.796735801526042,top_win
LRBN-BP-always,test_00070,ETTh1,DLinear,192,2026,test,-2.0489845736602343,True,1.0,3.984649672205209,0.36479315953519326,-2.5235279614919253,0.0936875174025527,5.616715383737862,top_win
LRBN-BP-always,test_00066,ETTh1,DLinear,192,2026,test,-1.8566828947196887,True,1.0,5.759051517563347,1.0458852715664082,-1.8447804746964054,0.07087192209576758,4.015472461507623,top_win
LRBN-BP-always,test_00031,ETTh1,DLinear,192,2026,test,-1.6201990515410656,True,1.0,2.225387789481681,0.3725976815616544,0.5469261106135294,0.17241546210814798,7.884464163103458,top_win
LRBN-BP-always,test_00059,ETTh1,DLinear,192,2026,test,-1.5602139564372202,True,1.0,1.8602122026624188,0.6801905954315852,0.662764949192995,0.20425780792670145,21.150248679305754,top_win
LRBN-BP-always,test_00067,ETTh1,DLinear,192,2026,test,-1.3111536685619463,True,1.0,2.764985259422673,0.7028001692957896,-5.090127987935225,0.14084241455305777,6.693144126624704,top_win
LRBN-BP-always,test_00042,ETTh1,DLinear,192,2026,test,-1.260383462246084,True,1.0,3.2739759775591226,0.4294594235501709,0.5679974792019942,0.12446301384054365,6.830112093475529,top_win
LRBN-BP-always,test_00022,ETTh1,DLinear,192,2026,test,-1.219736402184066,True,1.0,8.138690924452801,0.6587898400333404,0.3727683494022199,0.061775932529683865,2.2113879008402635,top_win
