variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,shrink,residual_cap,gate_quantile,score_threshold,mix_residual,patch_delta_rms,calibration_score,target_variant
H2L Learned Patch Residual Editor,232,8.713230563543027,2.2813170362258663,9.1261157455358,2.332075092367097,-0.412885181992774,-4.524215921130765,-2.1765189332757995,0.1939655172413793,0.4525862068965517,0.3448275862068966,1.0,8,8,False,0.646551724137931,150,0.3,0.21786508667216348,0.35344827586206895,0.3481800766283525,0.00031138244287378536,0.14346297366800115,1.6000099223235558,0.25,0.35,0.75,1.3063579201698303,1.0,1.4154707193374634,37.113715113352,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.922198389987587,2.311564831665876,9.1261157455358,2.332075092367097,-0.20391735554821575,-2.234437530824871,-0.8794854282524192,0.09051724137931035,0.21551724137931033,0.1724137931034483,0.875,7,8,False,0.30603448275862066,71,0.29577464788732394,0.10760006480747937,0.6939655172413793,0.14224137931034483,9.739731500742646e-05,0.06213767173201353,1.0395502746105194,0.25,0.35,0.9,2.0707091093063363,1.0,1.4154707193374634,-2.234437530824871,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.635486171004693,2.261952818375803,9.1261157455358,2.332075092367097,-0.49062957453110695,-5.376105099625729,-3.0068617395777166,0.28879310344827586,0.7112068965517241,0.4827586206896552,1.0,8,8,False,1.0,232,0.28879310344827586,0.25888808666671165,0.0,1.0,0.00022233563772970728,0.13711875429073175,1.927443228726243,0.5,0.15,0.0,0.0538950152695179,1.0,1.4154707193374634,74.0204466245122,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.752735453226151,2.281681459764385,9.1261157455358,2.332075092367097,-0.37338029230965036,-4.091338553131556,-2.1608923551201977,0.2543103448275862,0.646551724137931,0.41379310344827586,1.0,8,8,False,0.9008620689655172,209,0.2822966507177033,0.19701973646306195,0.09913793103448276,0.664272030651341,0.00014013639794718908,0.10613733691101838,1.8647790391897332,0.5,0.15,0.5,0.7479564249515533,1.0,1.4154707193374634,58.75348903307534,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.928002087632699,2.3078219085808103,9.1261157455358,2.332075092367097,-0.1981136579031037,-2.1708431408283246,-1.039982964599619,0.1853448275862069,0.46120689655172414,0.3448275862068966,1.0,8,8,False,0.646551724137931,150,0.2866666666666667,0.10453765630841752,0.35344827586206895,0.3481800766283525,5.898497925138811e-05,0.062418921851734206,1.6000099223235558,0.5,0.15,0.75,1.3063579201698303,1.0,1.4154707193374634,37.915363755723405,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,9.032518059282532,2.3225589513519083,9.1261157455358,2.332075092367097,-0.09359768625326984,-1.0256026633948079,-0.40805465508078576,0.08189655172413793,0.22413793103448276,0.1724137931034483,0.875,7,8,False,0.30603448275862066,71,0.2676056338028169,0.049388229263794395,0.6939655172413793,0.14224137931034483,1.7889302756466074e-05,0.02663043074229146,1.0395502746105194,0.5,0.15,0.9,2.0707091093063363,1.0,1.4154707193374634,-0.10724954130863962,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.38258769878688,2.2249596936787386,9.1261157455358,2.332075092367097,-0.7435280467489205,-8.147256364767285,-4.593136755314381,0.3017241379310345,0.6982758620689655,0.4827586206896552,1.0,8,8,False,1.0,232,0.3017241379310345,0.39233377561845506,0.0,1.0,0.0005359479609786667,0.21318247128301157,1.927443228726243,0.5,0.25,0.0,0.0538950152695179,1.0,1.4154707193374634,73.57688156626719,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.546376393830364,2.252727908229972,9.1261157455358,2.332075092367097,-0.5797393517054386,-6.352531210814116,-3.4024283376031326,0.2543103448275862,0.646551724137931,0.41379310344827586,1.0,8,8,False,0.9008620689655172,209,0.2822966507177033,0.3059082030916278,0.09913793103448276,0.664272030651341,0.00038761078237730854,0.17642278855653523,1.8647790391897332,0.5,0.25,0.5,0.7479564249515533,1.0,1.4154707193374634,56.492296375392776,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.813527164253209,2.293747842822069,9.1261157455358,2.332075092367097,-0.3125885812825931,-3.4252094719813178,-1.6434826436818262,0.1896551724137931,0.45689655172413796,0.3448275862068966,1.0,8,8,False,0.646551724137931,150,0.29333333333333333,0.16494207427151655,0.35344827586206895,0.3481800766283525,0.00016371555541920457,0.10399837497998096,1.6000099223235558,0.5,0.25,0.75,1.3063579201698303,1.0,1.4154707193374634,37.43685949353592,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.97529004667657,2.3168138937553726,9.1261157455358,2.332075092367097,-0.15082569885923078,-1.6526822900283937,-0.6544042512281961,0.08620689655172414,0.21982758620689655,0.1724137931034483,0.875,7,8,False,0.30603448275862066,71,0.28169014084507044,0.07958545229392859,0.6939655172413793,0.14224137931034483,4.969250765685022e-05,0.04438405123715248,1.0395502746105194,0.5,0.25,0.9,2.0707091093063363,1.0,1.4154707193374634,-1.6402458588462514,H2L Learned Patch Residual Editor
