variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,accept_precision,selected_nonharm_rate,mean_expected_harm,mean_accept_score,tau_leave,tau_family_gain,tau_family_harm,tau_candidate_gain,tau_candidate_harm,beta_harm,lambda_existing,lambda_smoothing,lambda_residual,lambda_memory,calibration_score,target_variant,tau_select,tau_harm,lam,residual_cap,top_k_family,top_k_candidate,mix_temp,max_coverage,uncertainty_beta,retrieval_weight,calibration_feasible_safe,calibration_feasible_balanced
FamilyMix Selector,232,9.095202550550686,2.3286312236095066,9.1261157455358,2.332075092367097,-0.030913194985115452,-0.3387333210885764,-0.1476740073291392,0.0,0.25,0.0,0.625,5,8,False,0.25,58,0.0,0.016311813062023468,1.0,1.0,0.05324468325345069,0.06277534089363433,0.45,,,,,1.5,,,,,0.9350304176709543,FamilyMix Selector,0.0,0.25,0.2,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.094808960706574,2.328515316965186,9.1261157455358,2.332075092367097,-0.03130678482922606,-0.34304610710461325,-0.1526441150329155,0.0,0.2672413793103448,0.0,0.625,5,8,False,0.5,116,0.0,0.016519496672964828,0.5344827586206896,1.0,0.05324468325345069,0.06277534089363433,0.45,,,,,1.5,,,,,0.92656395943609,FamilyMix Selector,0.0,0.25,0.2,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.094739645880455,2.328483588218144,9.1261157455358,2.332075092367097,-0.031376099655344755,-0.3438056287672306,-0.15400465213611403,0.0,0.27155172413793105,0.0,0.625,5,8,False,0.5474137931034483,127,0.0,0.016556071685240953,0.49606299212598426,1.0,0.05324468325345069,0.06277534089363433,0.45,,,,,1.5,,,,,0.9250729375279503,FamilyMix Selector,0.0,0.25,0.2,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.074558614147486,2.326364195522445,9.1261157455358,2.332075092367097,-0.051557131388315254,-0.5649405811781459,-0.24488477403044698,0.0,0.25,0.0,0.625,5,8,False,0.25,58,0.0,0.027204897119994013,1.0,1.0,0.05324468325345069,0.06277534089363433,0.45,,,,,1.5,,,,,0.49096147642197374,FamilyMix Selector,0.0,0.25,0.35,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.073908601672622,2.3261775934552382,9.1261157455358,2.332075092367097,-0.052207143863178936,-0.5720631346529885,-0.25288632025070346,0.0,0.2672413793103448,0.0,0.625,5,8,False,0.5,116,0.0,0.027547885995232075,0.5344827586206896,1.0,0.05324468325345069,0.06277534089363433,0.45,,,,,1.5,,,,,0.47697914544236997,FamilyMix Selector,0.0,0.25,0.35,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.0737926262528,2.3261220681479147,9.1261157455358,2.332075092367097,-0.052323119283000916,-0.5733339427703629,-0.25526726018129137,0.0,0.27155172413793105,0.0,0.625,5,8,False,0.5474137931034483,127,0.0,0.027609082172749044,0.49606299212598426,1.0,0.05324468325345069,0.06277534089363433,0.45,,,,,1.5,,,,,0.47448441377465633,FamilyMix Selector,0.0,0.25,0.35,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.05609264331769,2.3243397938902635,9.1261157455358,2.332075092367097,-0.07002310221811209,-0.767282643501811,-0.3316916538829422,0.0,0.25,0.0,0.625,5,8,False,0.25,58,0.0,0.036948744830638515,1.0,1.0,0.05324468325345069,0.06277534089363433,0.45,,,,,1.5,,,,,0.09374245988541874,FamilyMix Selector,0.0,0.25,0.5,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.055219439428356,2.3240877408439746,9.1261157455358,2.332075092367097,-0.07089630610744606,-0.7768508312470138,-0.34249975547593964,0.0,0.2672413793103448,0.0,0.625,5,8,False,0.5,116,0.0,0.03740950401825098,0.5344827586206896,1.0,0.05324468325345069,0.06277534089363433,0.45,,,,,1.5,,,,,0.07495908838796661,FamilyMix Selector,0.0,0.25,0.5,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.055061368151302,2.324009936381889,9.1261157455358,2.332075092367097,-0.07105437738449785,-0.7785829074258468,-0.3458360314820821,0.0,0.27155172413793105,0.0,0.625,5,8,False,0.5474137931034483,127,0.0,0.03749291270903774,0.49606299212598426,1.0,0.05324468325345069,0.06277534089363433,0.45,,,,,1.5,,,,,0.07155883839339838,FamilyMix Selector,0.0,0.25,0.5,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.096141058491227,2.32878429159254,9.1261157455358,2.332075092367097,-0.029974687044571846,-0.3284495600046612,-0.1411104115479344,0.0,0.22413793103448276,0.0,0.625,5,8,False,0.22413793103448276,52,0.0,0.01581659520794067,1.0,1.0,0.038759233815812776,0.0608217246932417,0.45,,,,,1.5,,,,,0.9552185358365254,FamilyMix Selector,0.1,0.25,0.2,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.096141058491227,2.32878429159254,9.1261157455358,2.332075092367097,-0.029974687044571846,-0.3284495600046612,-0.1411104115479344,0.0,0.22413793103448276,0.0,0.625,5,8,False,0.22413793103448276,52,0.0,0.01581659520794067,1.0,1.0,0.038759233815812776,0.0608217246932417,0.45,,,,,1.5,,,,,0.9552185358365254,FamilyMix Selector,0.1,0.25,0.2,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
