variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,rho,group_lasso,tau_score,tau_harm,beta_harm,residual_cap,temp,shrink,width_coef,center_mode,lowpass_kernel,local_shrink,global_shrink,mask_quantile,patch_len,stride,codebook_size,retrieval_k,calibration_score,target_variant
H1 Residual Atom Simplex Editor,232,9.007906844225941,2.3169821237398387,9.1261157455358,2.332075092367097,-0.11820890130985948,-1.2952816343377578,-0.6471905047971602,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.8491379310344828,197,0.015228426395939087,0.06237470767295415,0.7456896551724138,0.24329501915708812,8.743307096805104e-05,0.033304776554530825,0.07740173537005743,0.75,0.01,0.0,0.35,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.7665228645263823,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,8.981425712929084,2.313448200725685,9.1261157455358,2.332075092367097,-0.1446900326067173,-1.5854503326779394,-0.7987260625742905,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.8491379310344828,197,0.015228426395939087,0.07634787555784046,0.7456896551724138,0.24329501915708812,0.00015955352579233924,0.04439793292628124,0.07740173537005743,0.75,0.01,0.0,0.35,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-1.4758865994131534,H1 Residual Atom Simplex Editor
H3 Any-Quantile Residual Envelope,232,9.077330231287904,2.3287028401881744,9.1261157455358,2.332075092367097,-0.04878551424789876,-0.5345704082079343,-0.1446030694080088,0.47844827586206895,0.521551724137931,0.7241379310344828,0.625,5,8,False,1.0,232,0.47844827586206895,0.025742411579572123,0.0,1.0,5.5674078559777243e-05,0.07138616671115161,0.25136184660449873,0.5,0.0,0.0,0.35,1.5,0.2,0.35,0.25,0.0,q50,5,0.25,0.25,0.85,16,8,16,9,150.83453655474972,H3 Any-Quantile Residual Envelope
H3 Any-Quantile Residual Envelope,232,9.078821994588852,2.328873734525764,9.1261157455358,2.332075092367097,-0.04729375094694981,-0.5182243159502005,-0.13727507480714524,0.47413793103448276,0.5258620689655172,0.7241379310344828,0.625,5,8,False,1.0,232,0.47413793103448276,0.024955260199406384,0.0,1.0,5.8263041459405734e-05,0.07416713816440605,0.25136184660449873,0.5,0.0,0.0,0.35,1.5,0.35,0.35,0.25,0.0,q50,5,0.25,0.25,0.85,16,8,16,9,150.09863511944693,H3 Any-Quantile Residual Envelope
H3 Any-Quantile Residual Envelope,232,9.082840734460671,2.328855983851112,9.1261157455358,2.332075092367097,-0.04327501107513137,-0.4741887154880707,-0.13803622845240782,0.47844827586206895,0.521551724137931,0.6896551724137931,0.5,4,8,False,0.9956896551724138,231,0.47619047619047616,0.022834711561015363,0.0,0.9985632183908046,4.323974243659315e-05,0.05922217467113382,0.25136184660449873,0.5,0.0,0.0,0.35,1.5,0.2,0.35,0.25,0.0,trimmed_mean,5,0.25,0.25,0.85,16,8,16,9,145.80973545492284,H3 Any-Quantile Residual Envelope
H3 Any-Quantile Residual Envelope,232,9.084104114677153,2.3290135190417955,9.1261157455358,2.332075092367097,-0.042011630858648126,-0.4603451455583803,-0.1312810776202751,0.47844827586206895,0.521551724137931,0.6896551724137931,0.5,4,8,False,0.9956896551724138,231,0.47619047619047616,0.02216806995611312,0.0,0.9985632183908046,4.493064958126212e-05,0.06114899773217881,0.25136184660449873,0.5,0.0,0.0,0.35,1.5,0.35,0.35,0.25,0.0,trimmed_mean,5,0.25,0.25,0.85,16,8,16,9,145.84357827299962,H3 Any-Quantile Residual Envelope
H3 Any-Quantile Residual Envelope,232,9.087511704155224,2.3291758474382784,9.1261157455358,2.332075092367097,-0.03860404138057666,-0.4230062648192887,-0.12432039284995507,0.4956896551724138,0.5043103448275862,0.6896551724137931,0.5,4,8,False,1.0,232,0.4956896551724138,0.020370004030375477,0.0,1.0,4.38583225068665e-05,0.06001012472504413,0.25136184660449873,0.5,0.0,0.0,0.35,1.5,0.2,0.35,0.25,0.0,mid_iqr,5,0.25,0.25,0.85,16,8,16,9,149.0383074073729,H3 Any-Quantile Residual Envelope
H3 Any-Quantile Residual Envelope,232,9.089007125621544,2.329372266088735,9.1261157455358,2.332075092367097,-0.0371086199142565,-0.4066200879793471,-0.11589790893179058,0.4956896551724138,0.5043103448275862,0.6896551724137931,0.5,4,8,False,1.0,232,0.4956896551724138,0.019580922364138886,0.0,1.0,4.609832628447206e-05,0.062311314504661514,0.25136184660449873,0.5,0.0,0.0,0.35,1.5,0.35,0.35,0.25,0.0,mid_iqr,5,0.25,0.25,0.85,16,8,16,9,149.07836603419995,H3 Any-Quantile Residual Envelope
H3 Any-Quantile Residual Envelope,232,9.109778799939825,2.33075764614892,9.1261157455358,2.332075092367097,-0.01633694559597639,-0.179013131474536,-0.05649244386855631,0.4525862068965517,0.5474137931034483,0.7241379310344828,0.75,6,8,False,0.8017241379310345,186,0.43548387096774194,0.008620435470818389,0.13793103448275862,0.7217432950191571,3.29850296701587e-06,0.016537872278686108,0.25136184660449873,0.5,0.0,0.0,0.35,1.5,0.2,0.35,0.25,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,147.04858070095264,H3 Any-Quantile Residual Envelope
H3 Any-Quantile Residual Envelope,232,9.109778799939825,2.33075764614892,9.1261157455358,2.332075092367097,-0.01633694559597639,-0.179013131474536,-0.05649244386855631,0.4525862068965517,0.5474137931034483,0.7241379310344828,0.75,6,8,False,0.8017241379310345,186,0.43548387096774194,0.008620435470818389,0.13793103448275862,0.7217432950191571,3.29850296701587e-06,0.016537872278686108,0.25136184660449873,0.5,0.0,0.0,0.35,1.5,0.35,0.35,0.25,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,147.04858070095264,H3 Any-Quantile Residual Envelope
H3 Any-Quantile Residual Envelope,232,9.112496181150712,2.3308795590074682,9.1261157455358,2.332075092367097,-0.013619564385089121,-0.14923725218833422,-0.05126478810289929,0.46551724137931033,0.5344827586206896,0.6896551724137931,0.625,5,8,False,0.6508620689655172,151,0.44370860927152317,0.007186568335713443,0.25862068965517243,0.5541187739463601,2.2459185421776805e-06,0.013069249244966602,0.25136184660449873,0.5,0.0,0.0,0.35,1.5,0.2,0.35,0.25,1.0,trimmed_mean,5,0.25,0.25,0.85,16,8,16,9,144.27654500808512,H3 Any-Quantile Residual Envelope
