split,method,dataset,backbone,horizon,seed,n,coverage,mean_strength,lrbn_mse,method_mse,method_mae,delta_mse_vs_lrbn,delta_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn
test,LRBN-BP-short-bridge,ETTm1,PatchTST,192,2026,96,1.0,1.0,4.215013369115137,4.196121361992184,1.5777166865661707,-0.01889200712295055,-0.4482075244780875,0.125,0.875
val,LRBN-BP-conflict-filter,ETTh1,DLinear,96,2026,96,1.0,0.8969749701819839,9.535620690105475,9.39175502788891,2.4856001023909884,-0.14386566221656436,-1.5087183807025046,0.375,0.625
val,LRBN-BP-conflict-filter,ETTh1,DLinear,192,2026,96,1.0,0.9215530978430294,10.618143575280191,10.516705961424993,2.6175017202516266,-0.10143761385519878,-0.9553234333336782,0.40625,0.59375
val,LRBN-BP-conflict-filter,ETTh1,PatchTST,96,2026,96,1.0,0.9908953960144725,10.528241004299185,10.407211709969356,2.593226315092244,-0.1210292943298279,-1.1495680443243013,0.4479166666666667,0.5520833333333334
val,LRBN-BP-conflict-filter,ETTh1,PatchTST,192,2026,96,1.0,0.9929674456877448,11.609037853274186,11.472562734693994,2.7086468369206074,-0.13647511858019132,-1.1755937071403493,0.3854166666666667,0.6145833333333334
val,LRBN-BP-conflict-filter,ETTm1,DLinear,96,2026,96,1.0,0.9801882121769597,5.436033967295309,5.351244943116348,1.7081922638861766,-0.08478902417896035,-1.559758907562007,0.3958333333333333,0.6041666666666666
val,LRBN-BP-conflict-filter,ETTm1,DLinear,192,2026,96,1.0,0.9493486299162965,8.33279445849474,8.187573074625334,2.191539172599013,-0.1452213838694076,-1.742769300484618,0.4791666666666667,0.5208333333333334
val,LRBN-BP-conflict-filter,ETTm1,PatchTST,96,2026,96,1.0,0.9938420020414842,5.742462045489039,5.667387206026124,1.7617996034566994,-0.07507483946291536,-1.3073632657468475,0.4270833333333333,0.5729166666666666
val,LRBN-BP-conflict-filter,ETTm1,PatchTST,192,2026,96,1.0,0.9924213700524317,8.575089807437628,8.352104350858896,2.206609594330441,-0.22298545657873206,-2.6003862504773534,0.3541666666666667,0.6458333333333334
test,LRBN-BP-conflict-filter,ETTh1,DLinear,96,2026,96,1.0,0.5761068165563961,5.294718415187439,5.209414699815623,1.7528390371187743,-0.08530371537181547,-1.6111095722487991,0.3333333333333333,0.6666666666666666
test,LRBN-BP-conflict-filter,ETTh1,DLinear,192,2026,96,1.0,0.5549738247327437,6.7713172839613245,6.705858682226212,2.0090496686544994,-0.06545860173511334,-0.9667040974950176,0.3645833333333333,0.6354166666666666
test,LRBN-BP-conflict-filter,ETTh1,PatchTST,96,2026,96,1.0,0.9899284474765574,5.8042865388731295,5.702175034785681,1.833298110201608,-0.10211150408744922,-1.7592429875343156,0.3020833333333333,0.6979166666666666
test,LRBN-BP-conflict-filter,ETTh1,PatchTST,192,2026,96,1.0,0.9934734098138357,7.242316015180876,7.166519684635316,2.0804983498017138,-0.07579633054556008,-1.0465758506260052,0.3645833333333333,0.6354166666666666
test,LRBN-BP-conflict-filter,ETTm1,DLinear,96,2026,96,1.0,0.8320931092420961,2.8177423433450954,2.7397986494780837,1.2535910233650283,-0.07794369386701216,-2.766175330916275,0.3333333333333333,0.6666666666666666
test,LRBN-BP-conflict-filter,ETTm1,DLinear,192,2026,96,1.0,0.7781672264454936,3.994698335172625,3.9569617799460897,1.5270756506705976,-0.03773655522653501,-0.9446659538670237,0.40625,0.59375
test,LRBN-BP-conflict-filter,ETTm1,PatchTST,96,2026,96,1.0,0.992486126215964,3.013168467192729,2.9317727764357002,1.306868930155083,-0.08139569075702806,-2.701332214681281,0.3645833333333333,0.6354166666666666
test,LRBN-BP-conflict-filter,ETTm1,PatchTST,192,2026,96,1.0,0.9926612444439599,4.215013369115137,4.165504572595473,1.5703159242866132,-0.0495087965196628,-1.1745821914818533,0.4166666666666667,0.5833333333333334
val,LRBN-BP-repair-gate,ETTh1,DLinear,96,2026,96,0.8645833333333334,0.6446640324853363,9.535620690105475,9.272282320955204,2.465696960876571,-0.2633383691502696,-2.7616279782118176,0.3020833333333333,0.5625
val,LRBN-BP-repair-gate,ETTh1,DLinear,192,2026,96,0.4270833333333333,0.3835286583237641,10.618143575280191,10.654377332329354,2.632088677689393,0.03623375704916106,0.34124380366632673,0.2604166666666667,0.16666666666666666
val,LRBN-BP-repair-gate,ETTh1,PatchTST,96,2026,96,0.5729166666666666,0.48565288791070316,10.528241004299185,10.42631244991189,2.5955029698855747,-0.10192855438729385,-0.968144196631304,0.2708333333333333,0.3020833333333333
val,LRBN-BP-repair-gate,ETTh1,PatchTST,192,2026,96,0.6979166666666666,0.6222615702303423,11.609037853274186,11.456899821838002,2.705514225339714,-0.15213803143618312,-1.3105136982753844,0.23958333333333334,0.4583333333333333
val,LRBN-BP-repair-gate,ETTm1,DLinear,96,2026,96,0.3020833333333333,0.2750475033627411,5.436033967295309,5.3718528473682,1.7114984788696213,-0.06418111992710852,-1.1806607573678551,0.09375,0.20833333333333334
val,LRBN-BP-repair-gate,ETTm1,DLinear,192,2026,96,0.8229166666666666,0.625613433126381,8.33279445849474,8.154728922274188,2.1835548068124147,-0.17806553622055268,-2.136924616271242,0.375,0.4479166666666667
val,LRBN-BP-repair-gate,ETTm1,PatchTST,96,2026,96,0.7395833333333334,0.6614009238740352,5.742462045489039,5.6410985412554675,1.7538666709988542,-0.10136350423357159,-1.7651575796949541,0.3125,0.4270833333333333
val,LRBN-BP-repair-gate,ETTm1,PatchTST,192,2026,96,0.8020833333333334,0.752439910072254,8.575089807437628,8.171041429172057,2.1791877181121193,-0.40404837826557277,-4.711885086543703,0.2708333333333333,0.53125
test,LRBN-BP-repair-gate,ETTh1,DLinear,96,2026,96,0.6041666666666666,0.4836429569056902,5.294718415187439,5.216468120159481,1.7479747514145272,-0.07825029502795751,-1.4778934164981055,0.17708333333333334,0.4270833333333333
