config_id,sample_key,sample_id,split,dataset,backbone,horizon,seed,raw_gap,post_lrbn_gap,repair_ratio,conflict_cosine,norm_ratio,tail_volatility,anchor_disagreement,true_boundary_jump,mse_lrbn,mse_bp,delta_mse_vs_lrbn,harm_vs_lrbn,effective_strength,case_type
ETTh1_DLinear_192_seed2026,test::test_00020,test_00020,test,ETTh1,DLinear,192,2026,16.803881947773814,9.056157452110199,0.4610675403604326,0.6582565524588627,0.39809807991850105,0.23948792978357863,0.1862306799357457,0.292290722389465,18.56511622910482,14.407685998193912,-4.157430230910908,0,1.0,top_win
ETTm1_PatchTST_96_seed2026,test::test_00020,test_00020,test,ETTm1,PatchTST,96,2026,3.7831686511720517,7.445765249012378,-0.9681293409900105,0.10858890842755976,1.0766388741411546,0.7959414918145706,0.011684273399038547,0.0,6.323188379346225,2.4248882522639055,-3.898300127082319,0,1.0,top_win
ETTh1_PatchTST_96_seed2026,test::test_00059,test_00059,test,ETTh1,PatchTST,96,2026,2.9923763076891663,5.0958744012417725,-0.7029523876683426,0.015163944403790664,0.742673668990742,0.7321274046885583,0.03209823843432904,0.8646037505852872,8.612264385962257,4.803133167438314,-3.8091312185239437,0,1.0,top_win
ETTh1_PatchTST_192_seed2026,test::test_00021,test_00021,test,ETTh1,PatchTST,192,2026,1.8449412276684933,2.1446875362214444,-0.16246929300419133,0.09709552062858538,0.702442986525975,0.9970261233332472,0.1740509594203794,0.2828412349490098,12.646974851463959,8.937381037331482,-3.709593814132477,0,1.0,top_win
ETTh1_DLinear_192_seed2026,test::test_00021,test_00021,test,ETTh1,DLinear,192,2026,3.9639883123493767,2.149368757596463,0.4577762135519102,0.673259208462758,0.36448162811520174,0.9970261233332472,0.1740509594203794,0.2828412349490098,11.894816291155543,8.209674637620969,-3.685141653534574,0,1.0,top_win
ETTh1_PatchTST_192_seed2026,test::test_00079,test_00079,test,ETTh1,PatchTST,192,2026,5.922255465589914,6.040951005588346,-0.02004228303185429,0.010359954166071184,0.6638971934923745,0.5159511469496585,0.24982985261698962,0.5446254004110533,8.120366812833039,4.452400975802067,-3.6679658370309722,0,1.0,top_win
ETTh1_PatchTST_192_seed2026,test::test_00078,test_00078,test,ETTh1,PatchTST,192,2026,3.1657790081967745,2.599753079881152,0.17879515288994707,0.09232442061994736,0.502271135089894,0.6096227800497317,0.15758380396944813,0.11482510544354924,21.627710620025653,17.962861390486346,-3.664849229539307,0,1.0,top_win
ETTm1_DLinear_96_seed2026,test::test_00020,test_00020,test,ETTm1,DLinear,96,2026,5.694114136037346,6.532785077136512,-0.1472873403392294,0.6160873499103174,0.873516645811427,0.7959414918145706,0.011684273399038547,0.0,5.223475360612845,1.5789453776235083,-3.6445299829893365,0,1.0,top_win
ETTh1_DLinear_96_seed2026,test::test_00075,test_00075,test,ETTh1,DLinear,96,2026,2.6821928738006164,1.7332869966172295,0.3537798842175238,0.728116950293877,0.23900263900502636,0.9026854196988596,0.038957820630800534,0.15620037382130103,31.960791869418617,28.334615195442495,-3.626176673976122,0,1.0,top_win
ETTh1_DLinear_192_seed2026,test::test_00061,test_00061,test,ETTh1,DLinear,192,2026,9.509122152576055,6.290361713934288,0.3384918603045378,0.7429103048201058,0.5193707633657692,0.7650328898161471,0.3126227005187671,0.09149959554918276,5.710990954682635,2.3042183077175973,-3.4067726469650377,0,1.0,top_win
ETTh1_DLinear_96_seed2026,test::test_00019,test_00019,test,ETTh1,DLinear,96,2026,9.67377606878681,7.4770926167779,0.22707611432156927,0.6931720659123293,0.4134812670150113,0.2711234973137976,1.1505212068443538,2.0765452112340723,23.836751576609966,20.43972958927789,-3.397021987332078,0,1.0,top_win
ETTh1_PatchTST_192_seed2026,test::test_00061,test_00061,test,ETTh1,PatchTST,192,2026,5.064784470810366,4.81646834933531,0.049027976478888124,0.047148196688592194,0.7723069176711382,0.7650328898161471,0.3126227005187671,0.09149959554918276,7.252383349778678,3.944189073259764,-3.308194276518914,0,1.0,top_win
ETTh1_PatchTST_96_seed2026,test::test_00019,test_00019,test,ETTh1,PatchTST,96,2026,7.825387401020472,6.522104566810667,0.16654547540746933,-0.03722748187356091,0.6702087572446622,0.2711234973137976,1.1505212068443538,2.0765452112340723,26.491718445440217,23.34337963509104,-3.148338810349177,0,1.0,top_win
ETTm1_PatchTST_192_seed2026,test::test_00092,test_00092,test,ETTm1,PatchTST,192,2026,7.080007391413908,17.86136756678623,-1.5227893763587859,0.0021541432428566613,1.015688712928241,0.18661679670028442,0.2891843836544155,0.7555595342602136,5.065432539944631,2.1181396160641883,-2.9472929238804424,0,1.0,top_win
