config_id,sample_key,sample_id,split,dataset,backbone,horizon,seed,raw_gap,post_lrbn_gap,repair_ratio,conflict_cosine,norm_ratio,tail_volatility,anchor_disagreement,true_boundary_jump,mse_lrbn,mse_bp,delta_mse_vs_lrbn,harm_vs_lrbn,effective_strength
ETTh1_DLinear_96_seed2026,test::test_00064,test_00064,test,ETTh1,DLinear,96,2026,0.5288930605478003,0.841207330231086,-0.5905054723934895,-0.7281814499887671,0.08210000229490406,0.6879685651824031,0.37506563970926055,0.0,2.568597366998224,2.162330719479776,-0.40626664751844777,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00065,test_00065,test,ETTh1,DLinear,96,2026,1.5686540987139783,2.8796731535831994,-0.8357604301363455,-0.7119037206321958,0.2658327860948074,0.6000612249518182,0.1327642247501161,0.23497635597321206,4.602757811724199,3.9501409000488397,-0.6526169116753597,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00066,test_00066,test,ETTh1,DLinear,96,2026,0.27421165376462686,1.497008415070869,-4.459316953764592,-0.7132880077825641,0.14810846462409807,0.64413819607978,0.2804263656970915,1.637847447055186,5.8906479723857395,5.574268911223318,-0.3163790611624213,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00067,test_00067,test,ETTh1,DLinear,96,2026,4.247709640232502,1.5762634249264516,0.6289145098576764,0.727533386931342,0.07575277042753398,0.3343564227055457,0.09799928392240333,0.4187151509372752,7.275159191642108,7.827237159945234,0.5520779683031263,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00068,test_00068,test,ETTh1,DLinear,96,2026,2.1383766801041313,2.950305533070012,-0.379694018605762,-0.6949318689518772,0.39349737420173675,0.7663138189106156,0.11318254287775464,0.18399811737760993,3.1759724159431904,1.757680125116404,-1.4182922908267863,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00069,test_00069,test,ETTh1,DLinear,96,2026,4.60428902860664,5.55964186869317,-0.2074919301850724,-0.6700100500209606,0.5846290769349939,0.5387946509410889,0.45249151275134564,3.5245340626212593,1.179849232468789,1.7083659376516993,0.5285167051829103,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00070,test_00070,test,ETTh1,DLinear,96,2026,1.8849585446194788,2.5222611371667076,-0.3380989873511038,-0.6731697418502947,0.3636580122124848,0.7684671390438551,0.3599807841848997,0.18348188599897142,0.6403568071200644,0.8916772262113423,0.2513204190912779,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00071,test_00071,test,ETTh1,DLinear,96,2026,4.707378078567471,2.16599130553669,0.539873098451394,0.7161643845361986,0.1037272638419521,0.29071155474651245,0.1693545688025026,0.24422868248876087,0.8325987686194378,0.8868646980542477,0.0542659294348099,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00072,test_00072,test,ETTh1,DLinear,96,2026,0.3022359478242114,1.4267600187778053,-3.7206824393197824,-0.6971894437305691,0.13817624844150356,0.5404151993693324,0.0521821123824363,0.1295304056615924,2.1154569967296752,2.2626255870180816,0.14716859028840634,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00073,test_00073,test,ETTh1,DLinear,96,2026,1.2504094450878604,1.4234342787352965,-0.13837450389595496,-0.70180143323432,0.060920974896307864,0.24212189150468746,0.18392934122248936,1.4538123662113631,11.654677725271966,11.904289545323754,0.24961182005178806,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00074,test_00074,test,ETTh1,DLinear,96,2026,3.0079189318251585,1.8252545093630261,0.39318361242032007,0.7211864004174537,0.19342974906437385,0.6727190612056095,0.37281529214270176,2.0915117188421175,24.42306619677143,23.024850893294197,-1.398215303477233,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00075,test_00075,test,ETTh1,DLinear,96,2026,2.6821928738006164,1.7332869966172295,0.3537798842175238,0.728116950293877,0.23900263900502636,0.9026854196988596,0.038957820630800534,0.15620037382130103,31.960791869418617,28.334615195442495,-3.626176673976122,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00076,test_00076,test,ETTh1,DLinear,96,2026,15.351102238767908,11.87280884479929,0.22658264953688811,0.7461605457807353,0.46986029999318557,0.31435807051124937,0.35044960826836574,2.684836367100037,18.90128394136752,11.78203859762094,-7.119245343746581,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00077,test_00077,test,ETTh1,DLinear,96,2026,7.324329005607742,5.108263103640135,0.30256231180874593,0.7404616289157933,0.29333399406241056,0.48376315390627334,0.35878435951937176,0.1446989077914814,3.0663426796978306,1.5538390744036532,-1.5125036052941774,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00078,test_00078,test,ETTh1,DLinear,96,2026,4.55798053093172,1.0543144039118828,0.7686882624180442,0.738911179611746,0.04022473041986299,0.31101400946752666,0.3767247286832166,1.8102078133518402,3.4516948498342503,3.4561322374971932,0.004437387662942882,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00079,test_00079,test,ETTh1,DLinear,96,2026,4.883725698060663,0.4272802624736536,0.9125093656907988,0.7400661360032981,0.013168881374920359,0.2605299373192183,0.3238271598833379,2.15714165436351,9.386872376330656,9.523376420552838,0.13650404422218188,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00080,test_00080,test,ETTh1,DLinear,96,2026,2.7495276491588365,4.989112141112874,-0.8145342523327577,-0.7214792533139117,0.27779639244019044,0.4125985750123527,0.27250053476303737,0.16965642694695232,10.588322400239635,8.2833096183049,-2.3050127819347352,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00081,test_00081,test,ETTh1,DLinear,96,2026,1.8661027747759413,3.645906550016339,-0.9537544023882487,-0.7210867750143001,0.2635103414488556,0.5076148070749937,0.06940957889511441,0.41763931438800606,5.392068060944056,3.8247871213031535,-1.5672809396409026,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00082,test_00082,test,ETTh1,DLinear,96,2026,2.9427050205358682,6.3159666193087345,-1.1463131675109715,-0.7164564729288966,0.23059965705901278,0.25064394659091177,0.8418317545794024,0.8418316215886246,3.5356578975033828,2.4727739312541734,-1.0628839662492093,0,1.0
