split,method,mean_mse,mean_mae,lrbn_mse,lrbn_mae,delta_mse_vs_lrbn,delta_pct_vs_lrbn,delta_mae_vs_lrbn,delta_mae_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn,mean_win_size,mean_loss_size,win_loss_ratio,coverage,mean_strength,test_threshold_leakage,q4_improvement_pct_vs_lrbn,low_delta_pct_vs_lrbn,config_improved_ratio,param_alpha,param_anchor_mode,param_bridge_mode,param_gap_tau_quantile,param_gap_tau,param_gap_temp,param_boundary_clip,param_norm_clip,param_k_value,param_conflict_eta,param_high_repair
val,LRBN-BP-gap-strength,8.69010396603913,2.2880598972056823,8.79717792520947,2.3053724718885635,-0.10707395917033906,-1.2171398596110106,-0.017312574682881204,-0.7509664845439119,0.40625,0.59375,0.24983575025236884,0.10157788933416603,2.4595483061770294,1.0,0.40090770491021194,False,3.4182508810905086,-1.8820290302221758e-05,1.0,0.1,last,linear,0.6,3.116005981912195,0.25,,,,,
val,LRBN-BP-gap-strength,8.689707447072266,2.2879873965126647,8.79717792520947,2.3053724718885635,-0.107470478137203,-1.2216472024178149,-0.017385075375898455,-0.7541113426346171,0.40625,0.59375,0.25061964153432553,0.10174752990474531,2.463151853783908,1.0,0.411091153826964,False,3.4032107530206446,-0.0017970626281832867,1.0,0.1,last,linear,0.6,3.116005981912195,0.5,,,,,
val,LRBN-BP-gap-strength,8.690248265198163,2.2880446002990933,8.79717792520947,2.3053724718885635,-0.10692966001130579,-1.2154995704171907,-0.017327871589470318,-0.7516300175178302,0.40625,0.59375,0.25028209866585815,0.10258544263765533,2.439742597324066,1.0,0.44250892351343896,False,3.3174577419641214,-0.016407903714261304,1.0,0.1,last,linear,0.6,3.116005981912195,1.0,,,,,
val,LRBN-BP-gap-strength,8.695555305141882,2.2890691413740485,8.79717792520947,2.3053724718885635,-0.10162262006758815,-1.1551729522357062,-0.016303330514514994,-0.7071885624816403,0.4049479166666667,0.5950520833333334,0.22276455822528723,0.0763898099583555,2.916155036714697,1.0,0.3065800353285815,False,3.4071447774589347,-9.184828251920574e-07,1.0,0.1,last,linear,0.7,3.8710284796289334,0.25,,,,,
val,LRBN-BP-gap-strength,8.696789781249338,2.2892245819406116,8.79717792520947,2.3053724718885635,-0.100388143960132,-1.141140314535893,-0.016147889947952094,-0.7004460266101356,0.4049479166666667,0.5950520833333334,0.22356068818190294,0.08060816700240603,2.773424440242955,1.0,0.32035193529879286,False,3.3552247355483322,-0.0004004185809041453,1.0,0.1,last,linear,0.7,3.8710284796289334,0.5,,,,,
val,LRBN-BP-gap-strength,8.697921682036268,2.289368424089467,8.79717792520947,2.3053724718885635,-0.09925624317320127,-1.1282736794028225,-0.016004047799096175,-0.6942065945883866,0.40625,0.59375,0.22558432983426388,0.08537711425450563,2.6422104492745206,1.0,0.3566799482826957,False,3.225575337576355,-0.00812943694097869,1.0,0.1,last,linear,0.7,3.8710284796289334,1.0,,,,,
val,LRBN-BP-gap-strength,8.714449930375592,2.292122971014877,8.79717792520947,2.3053724718885635,-0.08272799483387636,-0.9403924240610222,-0.01324950087368676,-0.5747227824473982,0.3958333333333333,0.5950520833333334,0.1757718805133016,0.05523897816499623,3.1820257095998814,0.8346354166666666,0.2031890247489637,False,3.0397265775352045,-3.4751713278022444e-09,1.0,0.1,last,linear,0.8,5.265299801054961,0.25,,,,,
val,LRBN-BP-gap-strength,8.713981254416387,2.2920748901536916,8.79717792520947,2.3053724718885635,-0.083196670793083,-0.9457199957283967,-0.013297581734871838,-0.576808382998419,0.4049479166666667,0.5950520833333334,0.17719259703649212,0.054925960374884786,3.226025791207768,1.0,0.21060374497393006,False,3.012201618944207,-2.468713537147933e-05,1.0,0.1,last,linear,0.8,5.265299801054961,0.5,,,,,
val,LRBN-BP-gap-strength,8.71379584765306,2.2920270458978873,8.79717792520947,2.3053724718885635,-0.08338207755641026,-0.9478275666413944,-0.01334542599067598,-0.5788837203324143,0.4049479166666667,0.5950520833333334,0.180515379324633,0.05935078066892024,3.041499149212886,1.0,0.23795311529617313,False,2.902369590486207,-0.0020918392477016164,1.0,0.1,last,linear,0.8,5.265299801054961,1.0,,,,,
val,LRBN-BP-bounded,8.779333295398773,2.302416335874194,8.79717792520947,2.3053724718885635,-0.017844629810696105,-0.20284493438828383,-0.0029561360143697036,-0.1282281296230298,0.4036458333333333,0.5963541666666666,0.05174783424837812,0.03224462061658894,1.6048512034048652,1.0,1.0,False,0.23170545249821137,-0.1107178550206838,1.0,0.1,last,linear,,,,0.5,0.1,,,
val,LRBN-BP-bounded,8.779333295398773,2.302416335874194,8.79717792520947,2.3053724718885635,-0.017844629810696105,-0.20284493438828383,-0.0029561360143697036,-0.1282281296230298,0.4036458333333333,0.5963541666666666,0.05174783424837812,0.03224462061658894,1.6048512034048652,1.0,1.0,False,0.23170545249821137,-0.1107178550206838,1.0,0.1,last,linear,,,,0.5,0.2,,,
val,LRBN-BP-bounded,8.779333295398773,2.302416335874194,8.79717792520947,2.3053724718885635,-0.017844629810696105,-0.20284493438828383,-0.0029561360143697036,-0.1282281296230298,0.4036458333333333,0.5963541666666666,0.05174783424837812,0.03224462061658894,1.6048512034048652,1.0,1.0,False,0.23170545249821137,-0.1107178550206838,1.0,0.1,last,linear,,,,0.5,0.3,,,
val,LRBN-BP-bounded,8.779333295398773,2.302416335874194,8.79717792520947,2.3053724718885635,-0.017844629810696105,-0.20284493438828383,-0.0029561360143697036,-0.1282281296230298,0.4036458333333333,0.5963541666666666,0.05174783424837812,0.03224462061658894,1.6048512034048652,1.0,1.0,False,0.23170545249821137,-0.1107178550206838,1.0,0.1,last,linear,,,,0.5,0.5,,,
val,LRBN-BP-bounded,8.7629635467487,2.299671970596148,8.79717792520947,2.3053724718885635,-0.03421437846076849,-0.38892447910858624,-0.005700501292415609,-0.24727029307410486,0.4049479166666667,0.5950520833333334,0.09678866450657558,0.05773561743290948,1.6764114085197548,1.0,1.0,False,0.46034126868788805,-0.171323225244625,1.0,0.1,last,linear,,,,1.0,0.1,,,
val,LRBN-BP-bounded,8.7629635467487,2.299671970596148,8.79717792520947,2.3053724718885635,-0.03421437846076849,-0.38892447910858624,-0.005700501292415609,-0.24727029307410486,0.4049479166666667,0.5950520833333334,0.09678866450657558,0.05773561743290948,1.6764114085197548,1.0,1.0,False,0.46034126868788805,-0.171323225244625,1.0,0.1,last,linear,,,,1.0,0.2,,,
val,LRBN-BP-bounded,8.7629635467487,2.299671970596148,8.79717792520947,2.3053724718885635,-0.03421437846076849,-0.38892447910858624,-0.005700501292415609,-0.24727029307410486,0.4049479166666667,0.5950520833333334,0.09678866450657558,0.05773561743290948,1.6764114085197548,1.0,1.0,False,0.46034126868788805,-0.171323225244625,1.0,0.1,last,linear,,,,1.0,0.3,,,
