sample_id,dataset,backbone,horizon,seed,split,delta_bp_vs_lrbn,g_L,g_y,repair_ratio,A_bp,conflict_cosine,case_type,segment_harm_pattern,save_path
test_00074,ETTh1,DLinear,96,2026,test,-1.398215303477233,1.8252545093630261,2.0915117188421175,0.39318361242032007,12.070346224202865,0.7211864004174534,top_win,,
test_00005,ETTh1,DLinear,96,2026,test,-1.2225271636513733,7.11182061151196,0.8089085523924641,0.13627917495234876,1.7799502157692233,0.7129415651413693,top_win,,
test_00082,ETTh1,DLinear,96,2026,test,-1.0628839662492093,6.3159666193087345,0.8418316215886246,-1.1463131675109715,6.0628288082395025,-0.7164564729288965,top_win,,
test_00007,ETTh1,DLinear,96,2026,test,-0.9251027725841805,3.011249781544245,5.88235460457731,-0.1626650080029537,5.825977929791956,-0.6020724157735858,top_win,,
test_00057,ETTh1,DLinear,96,2026,test,-0.8808326362045875,1.3350689838966183,1.3366373947277346,0.507529491030503,22.325760198013803,0.7148439538357797,top_win,,
test_00024,ETTh1,DLinear,96,2026,test,-0.8133455033720169,4.176381445143435,0.29261920410542086,-2.1435603275374033,10.7270986788582,-0.7034604816264419,top_win,,
test_00044,ETTh1,DLinear,96,2026,test,-0.6568515180454977,1.731883123312195,1.0825830757461326,-4.43160356068023,8.646213780478897,-0.7186577421246391,top_win,,
test_00092,ETTh1,DLinear,96,2026,test,0.15755922936970812,0.4736406213354628,0.7657925468013178,0.8166916136504945,-60.82600315002399,0.718935692179056,low_gap_high_repair_harm,,
test_00038,ETTh1,DLinear,96,2026,test,0.14537933909912137,0.7561157769263342,0.9533345689456236,0.7266675680617514,-21.392560972385567,0.7140660063223868,low_gap_high_repair_harm,,
test_00079,ETTh1,DLinear,96,2026,test,0.13650404422218188,0.4272802624736536,2.15714165436351,0.9125093656907988,-130.49402569014322,0.740066136003298,low_gap_high_repair_harm,,
test_00034,ETTh1,DLinear,96,2026,test,0.022817745351511043,0.1343442959588438,0.6639031530378955,0.8715304365008048,-36.352565814069415,-0.7114138498511173,low_gap_high_repair_harm,,
test_00090,ETTh1,DLinear,96,2026,test,0.002568734613641155,0.02082034923296099,0.10246739127398653,0.9825800058178101,-150.5714220341209,-0.7200963700730251,low_gap_high_repair_harm,,
test_00055,ETTh1,DLinear,96,2026,test,-0.030159060499990176,0.07182597459043151,0.6551048545799063,0.9352771012133207,124.72210471319427,0.7142583181434519,low_gap_high_repair_harm,,
test_00058,ETTh1,DLinear,96,2026,test,-0.03232048140032617,0.023189954612145146,0.44417974295787727,0.9800366542474966,1780.9015562753323,0.7137704909528142,low_gap_high_repair_harm,,
test_00033,ETTh1,DLinear,96,2026,test,-0.040480991922067666,0.41157900494852173,2.5999907086993965,0.8577915301660594,49.12629778119535,-0.7192633996725499,low_gap_high_repair_harm,,
test_00076,ETTh1,DLinear,96,2026,test,-7.119245343746581,11.87280884479929,2.684836367100037,0.22658264953688811,7.100694243431754,0.7461605457807353,high_gap_low_repair_win,,
test_00059,ETTh1,DLinear,96,2026,test,-4.43466529141436,6.1723059006680865,0.8646037505852872,0.21226085420667673,3.592352864377779,0.7511375025237144,high_gap_low_repair_win,,
test_00019,ETTh1,DLinear,96,2026,test,-3.397021987332078,7.4770926167779,2.0765452112340723,0.22707611432156927,10.867337913881515,0.6931720659123295,high_gap_low_repair_win,,
test_00080,ETTh1,DLinear,96,2026,test,-2.3050127819347352,4.989112141112874,0.16965642694695232,-0.8145342523327577,7.493410196784095,-0.7214792533139117,high_gap_low_repair_win,,
test_00041,ETTh1,DLinear,96,2026,test,-2.2494848827194844,5.501336033375028,0.16324065602303037,0.28288924755611045,5.690178813330384,0.7337600177230088,high_gap_low_repair_win,,
test_00005,ETTh1,DLinear,96,2026,test,-1.2225271636513733,7.11182061151196,0.8089085523924641,0.13627917495234876,1.7799502157692233,0.7129415651413693,high_gap_low_repair_win,,
test_00082,ETTh1,DLinear,96,2026,test,-1.0628839662492093,6.3159666193087345,0.8418316215886246,-1.1463131675109715,6.0628288082395025,-0.7164564729288965,high_gap_low_repair_win,,
