split,method,dataset,backbone,horizon,seed,n,coverage,mean_boundary_gap,raw_mse,lrbn_mse,method_mse,method_mae,delta_vs_lrbn,delta_pct_vs_lrbn,win_rate_vs_lrbn,harm_rate_vs_lrbn
test,HalluGuard-LRBN-BP-always,ETTm1,PatchTST,96,2026,96,1.0,7085.865710337518,3.065950966984565,3.013168467192729,2.7348446154754416,1.2541480688620767,-0.2783238517172865,-9.236916349815013,0.5833333333333334,0.4166666666666667
test,HalluGuard-LRBN-BP-always,ETTm1,PatchTST,192,2026,96,1.0,18676.213959594555,4.224036328058323,4.215013369115137,4.111339745050376,1.548350905800363,-0.10367362406475972,-2.4596274018595117,0.5208333333333334,0.4791666666666667
test,HalluGuard-BP-global,ETTh1,DLinear,96,2026,96,1.0,3.2527853564844604,8.828207131934626,5.294718415187439,7.78380574785587,2.111512941142224,2.489087332668433,47.01075926583036,0.28125,0.71875
test,HalluGuard-BP-global,ETTh1,DLinear,192,2026,96,1.0,2.773809753257266,10.958442018326318,6.7713172839613245,9.249230218731155,2.296767627036332,2.47791293476983,36.59425230271868,0.25,0.75
test,HalluGuard-BP-global,ETTh1,PatchTST,96,2026,96,1.0,3.4502061927577365,5.8298080218054125,5.8042865388731295,5.599269308370019,1.8209530731637174,-0.20501723050311213,-3.5321693506485063,0.5833333333333334,0.4166666666666667
test,HalluGuard-BP-global,ETTh1,PatchTST,192,2026,96,1.0,2.965997389121108,7.270392972436926,7.242316015180876,7.012818848656906,2.0426818601110237,-0.22949716652396945,-3.168836677742716,0.5729166666666666,0.4270833333333333
test,HalluGuard-BP-global,ETTm1,DLinear,96,2026,96,1.0,7380.780743458218,4.785306744021491,2.8177423433450954,4.966114326584118,1.7286200230225635,2.148371983239023,76.24444373661677,0.21875,0.78125
test,HalluGuard-BP-global,ETTm1,DLinear,192,2026,96,1.0,14837.015957787415,6.45562024879166,3.994698335172625,6.448526865912636,1.9474472974431654,2.453828530740012,61.42712962808141,0.2604166666666667,0.7395833333333334
test,HalluGuard-BP-global,ETTm1,PatchTST,96,2026,96,1.0,7085.865710337518,3.065950966984565,3.013168467192729,2.788305304674187,1.2615045243732383,-0.22486316251854133,-7.462681367489927,0.625,0.375
test,HalluGuard-BP-global,ETTm1,PatchTST,192,2026,96,1.0,18676.213959594555,4.224036328058323,4.215013369115137,4.034914946278748,1.5358766307134342,-0.18009842283638733,-4.272784132281841,0.65625,0.34375
test,matched_sparse_smoothing,ETTh1,DLinear,96,2026,96,0.0,3.2527853564844604,8.828207131934626,5.294718415187439,8.4386866568446,2.1960124937890626,3.143968241657161,59.37932840207385,0.25,0.75
test,matched_sparse_smoothing,ETTh1,DLinear,192,2026,96,0.0,2.773809753257266,10.958442018326318,6.7713172839613245,10.527490557750108,2.4818345973057725,3.7561732737887827,55.471824915641555,0.23958333333333334,0.7604166666666666
test,matched_sparse_smoothing,ETTh1,PatchTST,96,2026,96,0.0,3.4502061927577365,5.8298080218054125,5.8042865388731295,5.732756326101189,1.8453183275911458,-0.07153021277194149,-1.2323687359272055,0.5416666666666666,0.4583333333333333
test,matched_sparse_smoothing,ETTh1,PatchTST,192,2026,96,0.0,2.965997389121108,7.270392972436926,7.242316015180876,7.16474891642659,2.080494138542752,-0.0775670987542851,-1.0710261535756247,0.5208333333333334,0.4791666666666667
test,matched_sparse_smoothing,ETTm1,DLinear,96,2026,96,0.0,7380.780743458218,4.785306744021491,2.8177423433450954,4.440616912377397,1.5877614637120228,1.6228745690323017,57.59485309597944,0.3645833333333333,0.6354166666666666
test,matched_sparse_smoothing,ETTm1,DLinear,192,2026,96,0.0,14837.015957787415,6.45562024879166,3.994698335172625,6.260261355143914,1.923517251035699,2.26556301997129,56.71424533742576,0.2708333333333333,0.7291666666666666
test,matched_sparse_smoothing,ETTm1,PatchTST,96,2026,96,0.0,7085.865710337518,3.065950966984565,3.013168467192729,3.0315561236814097,1.3283134366330296,0.018387656488681407,0.6102432249593984,0.5625,0.4375
test,matched_sparse_smoothing,ETTm1,PatchTST,192,2026,96,0.0,18676.213959594555,4.224036328058323,4.215013369115137,4.183683571605104,1.5785875513785808,-0.03132979751003242,-0.7432905827836239,0.5729166666666666,0.4270833333333333
test,naive_smoothing,ETTh1,DLinear,96,2026,96,0.0,3.2527853564844604,8.828207131934626,5.294718415187439,8.392580602989073,2.189610151080729,3.097862187801636,58.508535091589245,0.2604166666666667,0.7395833333333334
test,naive_smoothing,ETTh1,DLinear,192,2026,96,0.0,2.773809753257266,10.958442018326318,6.7713172839613245,10.46181311949352,2.469990977937283,3.6904958355321966,54.501889002061496,0.23958333333333334,0.7604166666666666
test,naive_smoothing,ETTh1,PatchTST,96,2026,96,0.0,3.4502061927577365,5.8298080218054125,5.8042865388731295,5.483760198842489,1.7965491442252606,-0.32052634003064145,-5.5222349436360725,0.8020833333333334,0.19791666666666666
test,naive_smoothing,ETTh1,PatchTST,192,2026,96,0.0,2.965997389121108,7.270392972436926,7.242316015180876,6.8891666831070095,2.034052537657335,-0.3531493320738662,-4.876193345415999,0.8541666666666666,0.14583333333333334
