method,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,coverage,selected_count,selected_harm_rate,shrink,cap_mult,feasible
MRC-ridge-residual,768,8.608309992309453,2.2777356457445843,8.79717792520947,2.3053724718885635,-0.18886793290001513,-2.1469150026407844,-1.1988009035893021,0.30078125,0.69921875,0.3376524225379093,0.15700769885560878,2.1505467788745927,0.5295157830818762,0.0,0,0.0,0.2,0.25,False
MRC-ridge-residual,768,8.484139518559548,2.2595787102119718,8.79717792520947,2.3053724718885635,-0.3130384066499217,-3.5583957600428784,-1.9863931766495917,0.30078125,0.69921875,0.5525839494029857,0.24382720572408406,2.2662931525588683,0.5072826901784147,0.0,0,0.0,0.2,0.5,False
MRC-ridge-residual,768,8.381383091092038,2.2442567201313817,8.79717792520947,2.3053724718885635,-0.4157948341174326,-4.726457020418681,-2.6510141956373046,0.2955729166666667,0.7044270833333334,0.7201325658682272,0.3095210816410689,2.3266025654345945,0.5031980265802564,0.0,0,0.0,0.2,1.0,False
MRC-ridge-residual,768,8.337004727981107,2.237448888088684,8.79717792520947,2.3053724718885635,-0.460173197228362,-5.230918376523727,-2.9463171063895253,0.29296875,0.70703125,0.7880630272399967,0.33113425919971634,2.379889671777504,0.4996057160832067,0.0,0,0.0,0.2,2.0,False
MRC-ridge-residual,768,8.715124912920443,2.2933429510654086,8.79717792520947,2.3053724718885635,-0.08205301228902741,-0.9327197073122868,-0.5218037830181914,0.29296875,0.70703125,0.14702389779491457,0.07474339139851363,1.9670485292878086,0.5475847467378425,0.0,0,0.0,0.4,0.1,False
MRC-ridge-residual,768,8.601904702846632,2.2766200754774126,8.79717792520947,2.3053724718885635,-0.19527322236283828,-2.219725732513424,-1.2471909262835008,0.3046875,0.6953125,0.3589315677608795,0.17820351457115302,2.014166490952683,0.5360082714415195,0.0,0,0.0,0.4,0.25,False
MRC-ridge-residual,768,8.442705639528496,2.2529830249243137,8.79717792520947,2.3053724718885635,-0.3544722856809746,-4.029386336068614,-2.272493810689211,0.3125,0.6875,0.6619690700149465,0.3220206398537637,2.0556727350111257,0.516712898355882,0.0,0,0.0,0.4,0.5,False
MRC-ridge-residual,768,8.230511817663794,2.221264123620189,8.79717792520947,2.3053724718885635,-0.5666661075456757,-6.441453290124706,-3.64836263680362,0.3177083333333333,0.6822916666666666,1.068027487243368,0.5100280029526463,2.094056522621884,0.4881060539606058,0.0,0,0.0,0.4,1.0,False
MRC-ridge-residual,768,8.067229248563015,2.195568164617098,8.79717792520947,2.3053724718885635,-0.7299486766464544,-8.297532254348722,-4.762974666094471,0.3151041666666667,0.6848958333333334,1.3693573535278551,0.6598404309552679,2.075285581989187,0.48465099673769824,0.0,0,0.0,0.4,2.0,False
MRC-ridge-residual,768,8.715045887542729,2.2933314545258408,8.79717792520947,2.3053724718885635,-0.08213203766673903,-0.9336180110444116,-0.5223024677061631,0.2916666666666667,0.7083333333333334,0.1471770752001537,0.07583448205726809,1.9407669413676523,0.5485353946710027,0.0,0,0.0,0.7,0.1,False
MRC-ridge-residual,768,8.601660090058441,2.2765315824706653,8.79717792520947,2.3053724718885635,-0.19551783515102805,-2.222506314991031,-1.251029481980791,0.3046875,0.6953125,0.3627660312101058,0.1861511250863546,1.948771523965301,0.5377328786076788,0.0,0,0.0,0.7,0.25,False
MRC-ridge-residual,768,8.435420603244657,2.2515575080384522,8.79717792520947,2.3053724718885635,-0.36175732196481203,-4.112197395904998,-2.334328368751328,0.3190104166666667,0.6809895833333334,0.6995545944797534,0.359336447526267,1.9467954888173766,0.5196625982725209,0.0,0,0.0,0.7,0.5,False
MRC-ridge-residual,768,8.184189565166408,2.213359591045179,8.79717792520947,2.3053724718885635,-0.6129883600430603,-6.968011384533463,-3.991237058924525,0.3294270833333333,0.6705729166666666,1.237533425676278,0.6583187893684305,1.8798391096586138,0.49088014306620004,0.0,0,0.0,0.7,1.0,False
