variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,shrink,residual_cap,gate_quantile,score_threshold,width_coef,energy_only_accept,calibration_score,target_variant
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.09969813649519,2.328505666083177,9.1261157455358,2.332075092367097,-0.026417609040612692,-0.28947264913427895,-0.15305794741761483,0.12931034482758622,0.375,0.3793103448275862,0.5,4,8,False,0.5043103448275862,117,0.2564102564102564,0.013939649409372945,0.4956896551724138,0.43726053639846746,1.468772315780171e-06,0.00684634639940021,0.24118593804024416,0.75,0.2,0.5,0.2499999701976776,1.0,False,36.20414815578171,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.109551160743935,2.3299751541682117,9.1261157455358,2.332075092367097,-0.016564584791866874,-0.18150750259569637,-0.09004590790211123,0.03879310344827586,0.21120689655172414,0.10344827586206896,0.5,4,8,False,0.25,58,0.15517241379310345,0.008740552722067987,0.75,0.21216475095785442,7.957736760336014e-07,0.0034051086415767327,0.24118593804024416,0.75,0.2,0.75,0.2500009834766388,1.0,False,1.2436814429629437,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.118094366126524,2.3311189394145844,9.1261157455358,2.332075092367097,-0.008021379409278932,-0.08789478047559322,-0.04100009264462891,0.021551724137931036,0.08189655172413793,0.06896551724137931,0.5,4,8,False,0.10344827586206896,24,0.20833333333333334,0.004232601692795666,0.896551724137931,0.08333333333333333,4.625639170071549e-07,0.0014220224695603472,0.24118593804024416,0.75,0.2,0.9,0.25005040168762205,1.0,False,5.772280771875389,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.068173732279135,2.323510304839135,9.1261157455358,2.332075092367097,-0.05794201325666621,-0.6349033346582166,-0.36726036478279717,0.23275862068965517,0.7672413793103449,0.3793103448275862,1.0,8,8,False,1.0,232,0.23275862068965517,0.030573976230380086,0.0,0.6987547892720306,2.655175856501332e-06,0.01562980349968326,0.24118593804024416,0.75,0.35,0.0,0.1347542256116867,1.0,False,54.14672058901004,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.09969813649519,2.328505666083177,9.1261157455358,2.332075092367097,-0.026417609040612692,-0.28947264913427895,-0.15305794741761483,0.12931034482758622,0.375,0.3793103448275862,0.5,4,8,False,0.5043103448275862,117,0.2564102564102564,0.013939649409372945,0.4956896551724138,0.43726053639846746,1.468772315780171e-06,0.00684634639940021,0.24118593804024416,0.75,0.35,0.5,0.2499999701976776,1.0,False,36.20414815578171,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.109551160743935,2.3299751541682117,9.1261157455358,2.332075092367097,-0.016564584791866874,-0.18150750259569637,-0.09004590790211123,0.03879310344827586,0.21120689655172414,0.10344827586206896,0.5,4,8,False,0.25,58,0.15517241379310345,0.008740552722067987,0.75,0.21216475095785442,7.957736760336014e-07,0.0034051086415767327,0.24118593804024416,0.75,0.35,0.75,0.2500009834766388,1.0,False,1.2436814429629437,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.118094366126524,2.3311189394145844,9.1261157455358,2.332075092367097,-0.008021379409278932,-0.08789478047559322,-0.04100009264462891,0.021551724137931036,0.08189655172413793,0.06896551724137931,0.5,4,8,False,0.10344827586206896,24,0.20833333333333334,0.004232601692795666,0.896551724137931,0.08333333333333333,4.625639170071549e-07,0.0014220224695603472,0.24118593804024416,0.75,0.35,0.9,0.25005040168762205,1.0,False,5.772280771875389,SL-TMP Sequence Teacher Minimal-Norm Projection
UTRE Uncertainty Teacher Residual Envelope,232,8.82976949808548,2.289295026656545,9.1261157455358,2.332075092367097,-0.2963462474503225,-3.2472330549890405,-1.834420583931008,0.31896551724137934,0.6810344827586207,0.5517241379310345,1.0,8,8,False,1.0,232,0.31896551724137934,0.15637156212320755,0.0,1.0,9.24655599452201e-05,0.08887178641966008,0.35142563619040723,0.25,0.1,0.0,0.03669367730617523,0.5,False,91.92518073811442,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,8.82976949808548,2.289295026656545,9.1261157455358,2.332075092367097,-0.2963462474503225,-3.2472330549890405,-1.834420583931008,0.31896551724137934,0.6810344827586207,0.5517241379310345,1.0,8,8,False,1.0,232,0.31896551724137934,0.15637156212320755,0.0,1.0,9.24655599452201e-05,0.08887178641966008,0.35142563619040723,0.25,0.1,0.0,0.03669367730617523,1.0,False,91.92518073811442,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,8.82976949808548,2.289295026656545,9.1261157455358,2.332075092367097,-0.2963462474503225,-3.2472330549890405,-1.834420583931008,0.31896551724137934,0.6810344827586207,0.5517241379310345,1.0,8,8,False,1.0,232,0.31896551724137934,0.15637156212320755,0.0,1.0,9.24655599452201e-05,0.08887178641966008,0.35142563619040723,0.25,0.1,0.0,0.03669367730617523,2.0,False,91.92518073811442,UTRE Uncertainty Teacher Residual Envelope
