variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,accept_precision,mean_expected_harm,observed_selected_harm,expected_observed_harm_gap_pp,mean_accept_score,k_max,tau_leave,tau_utility,beta_harm,base_floor,delta_cap,lam,temporal_q,local_lam,risk_tau,deadzone,agreement_tau,margin,calibration_score,target_variant
Retrieval-Augmented Local Residual Editor,232,8.92312211718864,2.3028656448896756,9.1261157455358,2.332075092367097,-0.20299362834716117,-2.224315730643966,-1.2525088685082868,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.10711264623326977,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.5,0.75,0.25,0.08,0.0,0.2,0.05,82.28947737280431,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.902662864009958,2.2996410729714976,9.1261157455358,2.332075092367097,-0.22345288152584464,-2.4484993124298087,-1.3907793690983,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.11790827940544696,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.7,0.75,0.25,0.08,0.0,0.2,0.05,82.06529379101846,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.856003898384126,2.29279635764289,9.1261157455358,2.332075092367097,-0.27011184715167547,-2.959767927421128,-1.6842825809657063,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.142528585566696,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.7,0.75,0.25,0.08,0.0,0.2,0.05,81.55402517602715,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,9.022752139487736,2.317276032735803,9.1261157455358,2.332075092367097,-0.10336360604806395,-1.1326133572803492,-0.634587608961342,0.30603448275862066,0.6939655172413793,0.4482758620689655,1.0,8,8,False,1.0,232,0.30603448275862066,0.054541363973684406,0.6939655172413793,0.06348139864191497,0.30603448275862066,24.25530841167057,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.3,0.75,0.25,0.08,0.0,0.35,0.05,81.48462802203,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.998285611727068,2.313869568042005,9.1261157455358,2.332075092367097,-0.12783013380873273,-1.4007069078779992,-0.7806577200971501,0.30603448275862066,0.6939655172413793,0.4482758620689655,1.0,8,8,False,1.0,232,0.30603448275862066,0.06745149595133984,0.6939655172413793,0.06348139864191497,0.30603448275862066,24.25530841167057,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.3,0.75,0.25,0.08,0.0,0.35,0.05,81.21653447143234,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.96017480661747,2.3081657227747794,9.1261157455358,2.332075092367097,-0.16594093891833117,-1.8183085045537875,-1.025240120614014,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.08756123643239665,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.5,0.75,0.25,0.08,0.0,0.35,0.05,82.6954845988945,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.92312211718864,2.3028656448896756,9.1261157455358,2.332075092367097,-0.20299362834716117,-2.224315730643966,-1.2525088685082868,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.10711264623326977,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.5,0.75,0.25,0.08,0.0,0.35,0.05,82.28947737280431,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.902662864009958,2.2996410729714976,9.1261157455358,2.332075092367097,-0.22345288152584464,-2.4484993124298087,-1.3907793690983,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.11790827940544696,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.7,0.75,0.25,0.08,0.0,0.35,0.05,82.06529379101846,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.856003898384126,2.29279635764289,9.1261157455358,2.332075092367097,-0.27011184715167547,-2.959767927421128,-1.6842825809657063,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.142528585566696,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.7,0.75,0.25,0.08,0.0,0.35,0.05,81.55402517602715,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,9.022752139487736,2.317276032735803,9.1261157455358,2.332075092367097,-0.10336360604806395,-1.1326133572803492,-0.634587608961342,0.30603448275862066,0.6939655172413793,0.4482758620689655,1.0,8,8,False,1.0,232,0.30603448275862066,0.054541363973684406,0.6939655172413793,0.06348139864191497,0.30603448275862066,24.25530841167057,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.3,0.75,0.25,0.08,0.0,0.5,0.05,81.48462802203,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.998285611727068,2.313869568042005,9.1261157455358,2.332075092367097,-0.12783013380873273,-1.4007069078779992,-0.7806577200971501,0.30603448275862066,0.6939655172413793,0.4482758620689655,1.0,8,8,False,1.0,232,0.30603448275862066,0.06745149595133984,0.6939655172413793,0.06348139864191497,0.30603448275862066,24.25530841167057,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.3,0.75,0.25,0.08,0.0,0.5,0.05,81.21653447143234,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.96017480661747,2.3081657227747794,9.1261157455358,2.332075092367097,-0.16594093891833117,-1.8183085045537875,-1.025240120614014,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.08756123643239665,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.5,0.75,0.25,0.08,0.0,0.5,0.05,82.6954845988945,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.92312211718864,2.3028656448896756,9.1261157455358,2.332075092367097,-0.20299362834716117,-2.224315730643966,-1.2525088685082868,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.10711264623326977,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.5,0.75,0.25,0.08,0.0,0.5,0.05,82.28947737280431,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.902662864009958,2.2996410729714976,9.1261157455358,2.332075092367097,-0.22345288152584464,-2.4484993124298087,-1.3907793690983,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.11790827940544696,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.7,0.75,0.25,0.08,0.0,0.5,0.05,82.06529379101846,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.856003898384126,2.29279635764289,9.1261157455358,2.332075092367097,-0.27011184715167547,-2.959767927421128,-1.6842825809657063,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.142528585566696,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.7,0.75,0.25,0.08,0.0,0.5,0.05,81.55402517602715,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,9.022752139487736,2.317276032735803,9.1261157455358,2.332075092367097,-0.10336360604806395,-1.1326133572803492,-0.634587608961342,0.30603448275862066,0.6939655172413793,0.4482758620689655,1.0,8,8,False,1.0,232,0.30603448275862066,0.054541363973684406,0.6939655172413793,0.06348139864191497,0.30603448275862066,24.25530841167057,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.3,0.75,0.25,0.08,0.0,0.65,0.05,81.48462802203,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.998285611727068,2.313869568042005,9.1261157455358,2.332075092367097,-0.12783013380873273,-1.4007069078779992,-0.7806577200971501,0.30603448275862066,0.6939655172413793,0.4482758620689655,1.0,8,8,False,1.0,232,0.30603448275862066,0.06745149595133984,0.6939655172413793,0.06348139864191497,0.30603448275862066,24.25530841167057,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.3,0.75,0.25,0.08,0.0,0.65,0.05,81.21653447143234,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.96017480661747,2.3081657227747794,9.1261157455358,2.332075092367097,-0.16594093891833117,-1.8183085045537875,-1.025240120614014,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.08756123643239665,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.5,0.75,0.25,0.08,0.0,0.65,0.05,82.6954845988945,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.92312211718864,2.3028656448896756,9.1261157455358,2.332075092367097,-0.20299362834716117,-2.224315730643966,-1.2525088685082868,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.10711264623326977,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.5,0.75,0.25,0.08,0.0,0.65,0.05,82.28947737280431,Retrieval-Augmented Local Residual Editor
