row_index,horizon,k_used,mean_distance,min_distance,memory_candidate,split,candidate,n,mean_mse_delta,win_rate,harm_rate
5,96,9,1.8041813791594248,0.8002681647506359,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
6,96,9,2.3253407028413187,0.9449353028240856,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
7,96,9,2.595304273114714,1.233494660602697,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
8,96,9,3.139282937169705,2.197132232897422,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
9,96,9,1.9019804906693105,1.45231874142396,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
10,96,9,2.105675396406768,1.5257370954594338,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
11,96,9,2.0473894360242744,0.8670504900862187,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
12,96,9,2.2778849754924773,1.720446878689122,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
13,96,9,1.978122587950395,1.4366030813070736,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
14,96,9,2.1399949142122643,1.615026458726151,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
15,96,9,1.866376225953937,0.9192710487949479,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
16,96,9,2.422195019880666,1.665986280725259,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
17,96,9,2.5065509211843375,1.746453332808742,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
18,96,9,2.1153001115233496,1.5118554535253854,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
19,96,9,2.1879619362882132,1.5308648083837313,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
20,96,9,2.1489748943403835,1.3278113969351006,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
