dataset,backbone,horizon,seq_len,epochs,batch_size,learning_rate,max_train_windows,max_eval_windows,device,n_val,n_test,prediction_path,adapter_mode,test_threshold_leakage,mse,mae,variant,method,model_label,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,status,blocker_reason,tail_len,learned_params
ETTm1,PatchTST,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_96_future_center_selector.jsonl,learnable_reversible_boundary_normalization,False,2.7381976655523435,1.2755337123520751,future_center_selector,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_selector,-0.1285586358843812,0.005428695886728105,completed,,48,"{""gamma"": 0.3517363369464874}"
ETTm1,PatchTST,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_96_future_center_horizon_selector.jsonl,learnable_reversible_boundary_normalization,False,2.747067641921742,1.2744713932271972,future_center_horizon_selector,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_selector,0.1949597631055529,-0.07786010978455407,completed,,48,"{""gamma"": 0.35166552662849426}"
ETTm1,PatchTST,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_96_future_center_horizon_residual_gate.jsonl,learnable_reversible_boundary_normalization,False,2.746122941621442,1.2765018200256486,future_center_horizon_residual_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_residual_gate,0.1605033095649555,0.08133105893832039,completed,,48,"{""beta"": 0.7015819549560547, ""gamma"": 0.3517000377178192}"
ETTm1,PatchTST,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_96_future_center_horizon_residual_gate_strong.jsonl,learnable_reversible_boundary_normalization,False,2.749407881774457,1.277071075154305,future_center_horizon_residual_gate_strong,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_residual_gate_strong,0.2803163208766559,0.1259622612556986,completed,,48,"{""beta"": 0.7015832662582397, ""gamma"": 0.3516562581062317}"
ETTm1,PatchTST,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_192_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,3.8274271209049773,1.519332476266215,unified_revin_rdn_hybrid,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-unified_revin_rdn_hybrid,-0.48797737686783915,-0.08748982151033693,completed,,48,"{""beta"": 0.7015939354896545, ""gamma"": 0.35167941451072693}"
ETTm1,PatchTST,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_192_future_center_selector.jsonl,learnable_reversible_boundary_normalization,False,3.7891501749450036,1.506430559110559,future_center_selector,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_selector,-1.4831671458666758,-0.935930139395477,completed,,48,"{""gamma"": 0.35168468952178955}"
ETTm1,PatchTST,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_192_future_center_horizon_selector.jsonl,learnable_reversible_boundary_normalization,False,3.8204096463173483,1.513329134655436,future_center_horizon_selector,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_selector,-0.6704297313770163,-0.4822743332361349,completed,,48,"{""gamma"": 0.35165080428123474}"
ETTm1,PatchTST,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_192_future_center_horizon_residual_gate.jsonl,learnable_reversible_boundary_normalization,False,3.847590670314638,1.5208298544326955,future_center_horizon_residual_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_residual_gate,0.036269204878270275,0.010978955822183332,completed,,48,"{""beta"": 0.7015959620475769, ""gamma"": 0.351722776889801}"
ETTm1,PatchTST,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_192_future_center_horizon_residual_gate_strong.jsonl,learnable_reversible_boundary_normalization,False,3.817041194801869,1.513956924086374,future_center_horizon_residual_gate_strong,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_residual_gate_strong,-0.7580085180722519,-0.44099040171465836,completed,,48,"{""beta"": 0.701586902141571, ""gamma"": 0.3516853153705597}"
ETTm1,PatchTST,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_336_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,5.026589248370409,1.7414749040912192,unified_revin_rdn_hybrid,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-unified_revin_rdn_hybrid,-0.3287613830428065,-0.23958473332799887,completed,,48,"{""beta"": 0.7015864849090576, ""gamma"": 0.35157671570777893}"
