variant,dataset,backbone,horizon,seed,config_key,n,mse,mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage,lrbn_mse,lrbn_mae
SafeTAE-expert-thresholds,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.209755609425687,2.089103675763935,-0.44958554200036466,-0.25650968975156885,0.0,1.0,1.0,,
SafeTAE-expert-thresholds,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.755430304916318,1.2554310603520829,-2.211417177826901,-1.457477323356269,0.010416666666666666,0.3645833333333333,0.5625,,
SafeTAE-expert-thresholds,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,3.981489538559171,1.5296860648944375,-0.3306581742127309,-0.5441166738624168,0.22916666666666666,0.3020833333333333,0.53125,,
SafeTAE-expert-thresholds,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,2.903580522782202,1.298328089593464,-3.6369670411734334,-2.1700280760685695,0.010416666666666666,0.9895833333333334,1.0,,
SafeTAE-expert-thresholds,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.150824583421929,1.5692452724512755,-1.5228607816823396,-0.9442313521659598,0.0,1.0,1.0,,
SafeTAE-expert-lambda,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.228558655145016,1.7528707666837722,-1.2495425578760688,-0.7776340264320478,0.041666666666666664,0.1875,0.22916666666666666,,
SafeTAE-expert-lambda,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.6930680795961734,2.003618187532495,-1.1555979577996418,-0.7842198844229401,0.09375,0.2708333333333333,0.3645833333333333,,
SafeTAE-expert-lambda,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.682865751788822,1.8321834765147471,-2.091915794679034,-1.1433320922497205,0.0,1.0,1.0,,
SafeTAE-expert-lambda,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.209755609425687,2.089103675763935,-0.44958554200036466,-0.25650968975156885,0.0,1.0,1.0,,
SafeTAE-expert-lambda,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.759980474758231,1.2573117972512142,-2.0499343567836186,-1.3098526843711291,0.0,0.3020833333333333,0.46875,,
SafeTAE-expert-lambda,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,3.993698721561424,1.533072411501722,-0.025023506778895834,-0.3239459482452702,0.20833333333333334,0.2708333333333333,0.4791666666666667,,
SafeTAE-expert-lambda,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,2.903580522782202,1.298328089593464,-3.6369670411734334,-2.1700280760685695,0.010416666666666666,0.9895833333333334,1.0,,
SafeTAE-expert-lambda,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.154926553020901,1.5701254383053003,-1.4255427133863554,-0.8886724754352254,0.0,1.0,1.0,,
SafeTAE-slice-aware,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.247253925075601,1.7535250901653008,-0.896449750491834,-0.7405956292992265,0.03125,0.21875,0.25,,
SafeTAE-slice-aware,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.682079329091445,1.9990688614856544,-1.3178817502683333,-1.009494806208582,0.07291666666666667,0.3229166666666667,0.3958333333333333,,
SafeTAE-slice-aware,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.728782154148181,1.839895929680212,-1.3008383388584963,-0.7272015971633586,0.010416666666666666,0.9270833333333334,0.9375,,
SafeTAE-slice-aware,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.1999118789480105,2.088154063317754,-0.5855051904035944,-0.30184858818423765,0.020833333333333332,0.9583333333333334,0.9791666666666666,,
SafeTAE-slice-aware,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.7897616269263357,1.2670082656796275,-0.993018981509872,-0.548748006818177,0.0,0.11458333333333333,0.34375,,
SafeTAE-slice-aware,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,3.994698335172625,1.5380548779931642,0.0,0.0,0.0,0.0,0.0,,
