method,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,coverage,selected_count,selected_harm_rate,split,tier,family,deployable
amplitude_expand,768,8.866017252924337,2.313060845706563,8.79717792520947,2.3053724718885635,0.06883932771486741,0.7825160320941968,0.33349811704619897,0.7109375,0.2890625,0.008034271797444517,0.10009562641767555,0.08026595449095694,0.27586650739701335,0.0,0,0.0,val,aggressive,amplitude,False
phase_shift_short,768,8.624537121878076,2.2843755399090573,8.79717792520947,2.3053724718885635,-0.1726408033313929,-1.9624566491990934,-0.9107826238259573,0.08203125,0.91796875,0.1885625922866907,0.005531596882654337,34.08821275386965,0.9350978805111212,0.0,0,0.0,val,aggressive,phase,False
ensemble_median,768,8.720848527237697,2.2953760255456666,8.79717792520947,2.3053724718885635,-0.07632939797177084,-0.867657770866207,-0.43361523664531126,0.03515625,0.2591145833333333,0.3024796452033066,0.05823969456066748,5.193701573266359,1.0,0.0,0,0.0,val,safe,ensemble,True
bp_always,768,8.419232644426494,2.2301619219390045,8.79717792520947,2.3053724718885635,-0.37794528078297623,-4.296210484390716,-3.2624033877573853,0.453125,0.546875,1.5083466614992624,0.9863322476677141,1.529248029529021,0.5336686739408673,0.0,0,0.0,val,aggressive,boundary,False
raw,768,9.171186122711934,2.3582131224290634,8.79717792520947,2.3053724718885635,0.3740081975024641,4.251456549554929,2.2920656403954642,0.6184895833333334,0.3815104166666667,0.9529424656547425,1.192527238144699,0.7990949197490491,0.37793890999567237,0.0,0,0.0,val,aggressive,raw,False
keep_lrbn,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,test,default,default,True
sra_safe,768,4.813148680992863,1.6609504547937923,4.894157596003544,1.682162338434372,-0.0810089150106816,-1.6552167202647812,-1.2609890870712976,0.03515625,0.15234375,0.5902660964848472,0.2535661689082847,2.3278581513757297,1.0000000000000002,0.0,0,0.0,test,safe,boundary,True
sra_balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.4507411159013866,0.21585651130246503,2.088151486837842,0.8970062858269305,0.0,0,0.0,test,balanced,boundary,True
sra_basic_ablation,768,4.722565345340137,1.640118072129334,4.894157596003544,1.682162338434372,-0.17159225066340697,-3.5060630342782355,-2.4994178679703287,0.11328125,0.2109375,1.2257498641463835,0.7676853963473288,1.596682513451102,0.8070531848299551,0.0,0,0.0,test,balanced,boundary,True
stage3_gated_bp,768,4.864130971809323,1.6743534601010577,4.894157596003544,1.682162338434372,-0.03002662419422079,-0.6135197640016364,-0.4642166875618306,0.018229166666666668,0.024739583333333332,1.5555453914797617,0.4639225040681364,3.3530284569273965,0.9999999999999999,0.0,0,0.0,test,safe,boundary,True
